record_id,vendor_id,vendor_name,category,region,status,period,year,month,quarter,invoice_amount,payment_days,on_time,quality_score,defect_rate,order_count,dispute_count
VP-0016,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,Jan 2025,2025,1,Q1,70637.87,33,Yes,69.2,0.3142,2,0
VP-0017,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,Jan 2025,2025,1,Q1,64103.31,54,Yes,60.1,0.5116,2,1
VP-0001,V-TEC-01,Technology Vendor 01,Technology,South,Active,Jan 2025,2025,1,Q1,223971.49,30,Yes,95.0,0.0476,3,0
VP-0002,V-TEC-02,Technology Vendor 02,Technology,North,Active,Jan 2025,2025,1,Q1,138337.37,79,Yes,62.6,0.2713,4,3
VP-0003,V-TEC-04,Technology Vendor 04,Technology,West,Probation,Jan 2025,2025,1,Q1,86686.77,92,Yes,64.5,0.331,2,0
VP-0004,V-TEC-05,Technology Vendor 05,Technology,West,Active,Jan 2025,2025,1,Q1,192225.17,72,Yes,82.3,0.1816,12,0
VP-0005,V-TEC-06,Technology Vendor 06,Technology,West,Active,Jan 2025,2025,1,Q1,83065.48,36,Yes,98.4,0.0237,4,0
VP-0047,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Feb 2025,2025,2,Q1,105181.17,39,Yes,84.3,0.1745,2,0
VP-0048,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Feb 2025,2025,2,Q1,41944.14,27,Yes,87.3,0.1061,7,0
VP-0049,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Feb 2025,2025,2,Q1,198978.11,43,Yes,74.1,0.3808,1,0
VP-0050,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Feb 2025,2025,2,Q1,181184.74,55,No,78.9,0.1177,13,0
VP-0051,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Feb 2025,2025,2,Q1,60694.73,80,No,70.1,0.321,10,0
VP-0052,V-LOG-06,Logistics Vendor 06,Logistics,North,Inactive,Feb 2025,2025,2,Q1,128118.54,73,Yes,57.5,0.4481,5,1
VP-0035,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Feb 2025,2025,2,Q1,178085.85,14,Yes,90.1,0.0809,2,0
VP-0036,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Feb 2025,2025,2,Q1,266596.65,34,Yes,78.3,0.3073,13,0
VP-0037,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Feb 2025,2025,2,Q1,106888.36,47,Yes,94.1,0.0754,13,0
VP-0038,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Feb 2025,2025,2,Q1,150964.4,52,Yes,83.8,0.2415,5,0
VP-0039,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Feb 2025,2025,2,Q1,102043.59,59,Yes,90.0,0.0808,5,0
VP-0040,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,Feb 2025,2025,2,Q1,163085.66,54,Yes,63.8,0.4604,14,1
VP-0053,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,Feb 2025,2025,2,Q1,76356.13,35,Yes,75.5,0.3567,2,0
VP-0054,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,Feb 2025,2025,2,Q1,194857.89,45,Yes,99.0,0.0098,2,0
VP-0055,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,Feb 2025,2025,2,Q1,67569.94,35,Yes,80.9,0.2327,6,0
VP-0056,V-PRO-04,Professional Services Vendor 04,Professional Services,North,Inactive,Feb 2025,2025,2,Q1,30720.05,34,Yes,89.6,0.1031,1,0
VP-0057,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,Feb 2025,2025,2,Q1,99989.47,34,Yes,72.0,0.2588,8,2
VP-0058,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,Feb 2025,2025,2,Q1,72947.56,38,Yes,69.7,0.4277,7,0
VP-0041,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,Feb 2025,2025,2,Q1,233065.14,23,Yes,80.1,0.1683,9,0
VP-0042,V-RAW-02,Raw Materials Vendor 02,Raw Materials,East,Inactive,Feb 2025,2025,2,Q1,163748.21,62,Yes,74.4,0.248,4,0
VP-0043,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,Feb 2025,2025,2,Q1,146196.91,49,Yes,70.5,0.3237,4,1
VP-0044,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,Feb 2025,2025,2,Q1,89563.15,71,No,77.3,0.1672,10,1
VP-0045,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,Feb 2025,2025,2,Q1,89385.65,19,Yes,70.2,0.4044,11,1
VP-0046,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,Feb 2025,2025,2,Q1,86450.35,48,Yes,68.8,0.2185,13,1
VP-0029,V-TEC-01,Technology Vendor 01,Technology,South,Active,Feb 2025,2025,2,Q1,47411.2,48,Yes,91.5,0.0736,9,0
VP-0030,V-TEC-02,Technology Vendor 02,Technology,North,Active,Feb 2025,2025,2,Q1,55269.17,75,No,66.1,0.2579,14,0
VP-0031,V-TEC-03,Technology Vendor 03,Technology,West,Inactive,Feb 2025,2025,2,Q1,62406.65,69,Yes,58.6,0.4465,12,1
VP-0032,V-TEC-04,Technology Vendor 04,Technology,West,Probation,Feb 2025,2025,2,Q1,70658.31,81,Yes,67.4,0.3942,3,1
VP-0033,V-TEC-05,Technology Vendor 05,Technology,West,Active,Feb 2025,2025,2,Q1,141025.16,75,No,82.1,0.2033,5,0
VP-0034,V-TEC-06,Technology Vendor 06,Technology,West,Active,Feb 2025,2025,2,Q1,68308.02,48,Yes,87.0,0.1059,1,0
VP-0077,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Mar 2025,2025,3,Q1,160311.97,47,Yes,82.3,0.141,12,0
VP-0078,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Mar 2025,2025,3,Q1,74094.48,46,Yes,87.6,0.11,6,0
VP-0079,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Mar 2025,2025,3,Q1,145740.2,21,Yes,77.3,0.2959,11,0
VP-0080,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Mar 2025,2025,3,Q1,110189.69,45,Yes,71.8,0.2823,14,0
VP-0081,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Mar 2025,2025,3,Q1,87646.54,65,Yes,64.4,0.4835,15,1
VP-0065,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Mar 2025,2025,3,Q1,195583.06,44,Yes,87.4,0.1421,10,0
VP-0066,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Mar 2025,2025,3,Q1,154154.62,32,Yes,76.7,0.1485,14,0
VP-0067,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Mar 2025,2025,3,Q1,112006.46,60,Yes,84.9,0.2229,14,0
VP-0068,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Mar 2025,2025,3,Q1,41602.14,73,Yes,76.3,0.1452,7,0
VP-0069,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Mar 2025,2025,3,Q1,63284.62,57,No,93.3,0.0846,3,0
VP-0070,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,Mar 2025,2025,3,Q1,171342.2,52,Yes,66.9,0.1723,5,2
VP-0082,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,Mar 2025,2025,3,Q1,70450.18,45,Yes,79.8,0.1777,9,0
VP-0083,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,Mar 2025,2025,3,Q1,189358.42,40,Yes,94.9,0.0295,14,0
VP-0084,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,Mar 2025,2025,3,Q1,153584.16,52,Yes,87.3,0.1689,11,0
VP-0085,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,Mar 2025,2025,3,Q1,91445.4,56,No,72.2,0.298,15,0
VP-0086,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,Mar 2025,2025,3,Q1,54005.04,52,Yes,74.8,0.2278,11,1
VP-0071,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,Mar 2025,2025,3,Q1,186765.55,25,Yes,83.6,0.1711,4,0
VP-0072,V-RAW-02,Raw Materials Vendor 02,Raw Materials,East,Inactive,Mar 2025,2025,3,Q1,94226.91,59,Yes,79.9,0.1529,12,0
VP-0073,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,Mar 2025,2025,3,Q1,128039.94,38,Yes,71.0,0.4012,11,1
VP-0074,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,Mar 2025,2025,3,Q1,116283.07,79,No,75.0,0.1969,15,1
VP-0075,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,Mar 2025,2025,3,Q1,105021.73,22,No,79.4,0.2321,12,1
VP-0076,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,Mar 2025,2025,3,Q1,44721.99,51,Yes,54.0,0.3842,6,0
VP-0059,V-TEC-01,Technology Vendor 01,Technology,South,Active,Mar 2025,2025,3,Q1,196390.04,31,Yes,98.1,0.0232,4,0
VP-0060,V-TEC-02,Technology Vendor 02,Technology,North,Active,Mar 2025,2025,3,Q1,114375.35,90,No,60.2,0.4066,14,0
VP-0061,V-TEC-03,Technology Vendor 03,Technology,West,Inactive,Mar 2025,2025,3,Q1,121770.01,58,Yes,59.8,0.4922,3,1
VP-0062,V-TEC-04,Technology Vendor 04,Technology,West,Probation,Mar 2025,2025,3,Q1,106889.5,70,Yes,71.0,0.3317,8,0
VP-0063,V-TEC-05,Technology Vendor 05,Technology,West,Active,Mar 2025,2025,3,Q1,120640.81,63,No,84.8,0.216,7,0
VP-0064,V-TEC-06,Technology Vendor 06,Technology,West,Active,Mar 2025,2025,3,Q1,118745.52,63,No,94.4,0.0292,15,0
VP-0103,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Apr 2025,2025,4,Q2,93597.48,43,Yes,79.7,0.1047,12,0
VP-0104,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Apr 2025,2025,4,Q2,63773.75,25,Yes,95.4,0.0516,8,0
VP-0105,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Apr 2025,2025,4,Q2,186565.96,47,Yes,68.9,0.3811,9,0
VP-0106,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Apr 2025,2025,4,Q2,189840.71,62,No,69.0,0.2992,10,1
VP-0107,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Apr 2025,2025,4,Q2,35425.74,72,Yes,57.8,0.2258,7,0
VP-0108,V-LOG-06,Logistics Vendor 06,Logistics,North,Inactive,Apr 2025,2025,4,Q2,99358.51,52,Yes,56.1,0.4105,9,2
VP-0092,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Apr 2025,2025,4,Q2,69123.31,42,Yes,90.9,0.0826,15,0
VP-0093,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Apr 2025,2025,4,Q2,235112.2,52,Yes,80.7,0.1909,8,0
VP-0094,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Apr 2025,2025,4,Q2,101397.34,53,Yes,88.2,0.1119,12,0
VP-0095,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Apr 2025,2025,4,Q2,201665.7,45,Yes,73.7,0.134,10,0
VP-0096,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Apr 2025,2025,4,Q2,97418.87,56,Yes,90.1,0.0977,14,0
VP-0097,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,Apr 2025,2025,4,Q2,187405.47,44,Yes,62.5,0.4486,1,1
VP-0109,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,Apr 2025,2025,4,Q2,106442.73,33,Yes,76.2,0.3415,1,0
VP-0110,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,Apr 2025,2025,4,Q2,85740.05,37,Yes,95.0,0.0316,5,0
VP-0111,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,Apr 2025,2025,4,Q2,43887.52,42,Yes,79.2,0.2767,12,1
VP-0112,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,Apr 2025,2025,4,Q2,68132.92,43,Yes,71.0,0.3074,13,1
VP-0113,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,Apr 2025,2025,4,Q2,141157.8,26,Yes,66.7,0.2765,3,1
VP-0098,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,Apr 2025,2025,4,Q2,101507.55,20,Yes,92.8,0.0802,3,0
VP-0099,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,Apr 2025,2025,4,Q2,151510.83,40,Yes,65.4,0.4746,7,2
VP-0100,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,Apr 2025,2025,4,Q2,178820.99,64,No,80.7,0.1837,7,1
VP-0101,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,Apr 2025,2025,4,Q2,152549.33,38,Yes,78.5,0.1776,7,0
VP-0102,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,Apr 2025,2025,4,Q2,61852.49,41,Yes,55.3,0.5192,3,1
VP-0087,V-TEC-01,Technology Vendor 01,Technology,South,Active,Apr 2025,2025,4,Q2,105444.89,35,Yes,90.0,0.0929,2,0
VP-0088,V-TEC-02,Technology Vendor 02,Technology,North,Active,Apr 2025,2025,4,Q2,58210.07,70,Yes,70.0,0.4154,7,2
VP-0089,V-TEC-04,Technology Vendor 04,Technology,West,Probation,Apr 2025,2025,4,Q2,59297.79,80,Yes,72.9,0.157,10,0
VP-0090,V-TEC-05,Technology Vendor 05,Technology,West,Active,Apr 2025,2025,4,Q2,130742.93,76,No,79.8,0.1073,5,0
VP-0091,V-TEC-06,Technology Vendor 06,Technology,West,Active,Apr 2025,2025,4,Q2,81721.78,50,Yes,91.0,0.066,1,0
VP-0132,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,May 2025,2025,5,Q2,153097.04,39,Yes,86.0,0.1833,12,0
VP-0133,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,May 2025,2025,5,Q2,55997.82,29,Yes,94.8,0.0564,12,0
VP-0134,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,May 2025,2025,5,Q2,116423.4,25,Yes,77.8,0.2415,15,0
VP-0135,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,May 2025,2025,5,Q2,67290.69,62,Yes,82.0,0.0952,5,0
VP-0136,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,May 2025,2025,5,Q2,46586.69,75,Yes,60.3,0.2169,9,1
VP-0120,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,May 2025,2025,5,Q2,227962.38,39,Yes,93.7,0.0726,7,0
VP-0121,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,May 2025,2025,5,Q2,68423.3,61,Yes,76.7,0.1242,6,1
VP-0122,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,May 2025,2025,5,Q2,92348.63,44,Yes,96.0,0.0299,14,0
VP-0123,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,May 2025,2025,5,Q2,211907.84,55,Yes,75.9,0.1362,3,0
VP-0124,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,May 2025,2025,5,Q2,142241.67,48,Yes,100,0.0,15,0
VP-0125,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,May 2025,2025,5,Q2,119664.6,51,Yes,68.0,0.186,11,0
VP-0137,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,May 2025,2025,5,Q2,105649.67,46,Yes,80.5,0.2089,15,0
VP-0138,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,May 2025,2025,5,Q2,188653.98,47,Yes,85.0,0.1334,4,0
VP-0139,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,May 2025,2025,5,Q2,90932.66,34,Yes,85.4,0.1768,10,0
VP-0140,V-PRO-04,Professional Services Vendor 04,Professional Services,North,Inactive,May 2025,2025,5,Q2,29626.94,42,No,88.6,0.099,10,0
VP-0141,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,May 2025,2025,5,Q2,83486.82,39,Yes,59.7,0.4271,5,0
VP-0142,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,May 2025,2025,5,Q2,157821.9,45,Yes,71.3,0.3695,7,1
VP-0126,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,May 2025,2025,5,Q2,171066.42,28,Yes,90.2,0.118,13,0
VP-0127,V-RAW-02,Raw Materials Vendor 02,Raw Materials,East,Inactive,May 2025,2025,5,Q2,128812.41,51,Yes,68.8,0.4298,8,1
VP-0128,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,May 2025,2025,5,Q2,89779.28,33,Yes,74.9,0.1699,7,1
VP-0129,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,May 2025,2025,5,Q2,100882.3,70,Yes,89.6,0.1418,2,0
VP-0130,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,May 2025,2025,5,Q2,111085.95,33,Yes,66.6,0.3776,4,0
VP-0131,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,May 2025,2025,5,Q2,158672.88,45,Yes,53.3,0.6056,3,1
VP-0114,V-TEC-01,Technology Vendor 01,Technology,South,Active,May 2025,2025,5,Q2,219495.47,47,Yes,93.6,0.0675,11,0
VP-0115,V-TEC-02,Technology Vendor 02,Technology,North,Active,May 2025,2025,5,Q2,82591.98,90,Yes,58.6,0.4196,15,0
VP-0116,V-TEC-03,Technology Vendor 03,Technology,West,Inactive,May 2025,2025,5,Q2,80293.0,62,Yes,59.3,0.324,10,1
VP-0117,V-TEC-04,Technology Vendor 04,Technology,West,Probation,May 2025,2025,5,Q2,107669.42,89,No,71.4,0.4031,5,1
VP-0118,V-TEC-05,Technology Vendor 05,Technology,West,Active,May 2025,2025,5,Q2,123330.75,59,No,94.3,0.0439,11,0
VP-0119,V-TEC-06,Technology Vendor 06,Technology,West,Active,May 2025,2025,5,Q2,71012.33,51,No,86.1,0.1938,14,0
VP-0160,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Jun 2025,2025,6,Q2,193721.97,25,Yes,80.5,0.1406,2,0
VP-0161,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Jun 2025,2025,6,Q2,107702.33,42,Yes,96.8,0.0186,12,0
VP-0162,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Jun 2025,2025,6,Q2,102868.64,30,Yes,75.4,0.3118,12,0
VP-0163,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Jun 2025,2025,6,Q2,109739.53,65,Yes,70.9,0.2872,4,1
VP-0164,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Jun 2025,2025,6,Q2,79327.43,71,Yes,57.8,0.4601,12,2
VP-0165,V-LOG-06,Logistics Vendor 06,Logistics,North,Inactive,Jun 2025,2025,6,Q2,180800.56,61,Yes,64.6,0.5026,10,0
VP-0148,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Jun 2025,2025,6,Q2,160372.16,17,Yes,99.3,0.0099,9,0
VP-0149,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Jun 2025,2025,6,Q2,144556.93,49,Yes,86.9,0.0965,7,0
VP-0150,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Jun 2025,2025,6,Q2,95290.86,45,Yes,89.9,0.1248,2,0
VP-0151,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Jun 2025,2025,6,Q2,207352.56,64,Yes,88.6,0.1451,2,0
VP-0152,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Jun 2025,2025,6,Q2,101221.14,73,No,96.9,0.0218,14,0
VP-0153,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,Jun 2025,2025,6,Q2,194157.79,34,Yes,66.2,0.2304,3,1
VP-0166,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,Jun 2025,2025,6,Q2,83506.61,25,Yes,73.5,0.251,4,1
VP-0167,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,Jun 2025,2025,6,Q2,228577.95,34,Yes,85.0,0.2071,6,0
VP-0168,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,Jun 2025,2025,6,Q2,125769.5,40,Yes,90.9,0.1214,5,0
VP-0169,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,Jun 2025,2025,6,Q2,125702.56,61,Yes,72.9,0.2158,11,0
VP-0170,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,Jun 2025,2025,6,Q2,210286.6,24,Yes,71.5,0.3294,12,1
VP-0154,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,Jun 2025,2025,6,Q2,75435.31,35,Yes,79.2,0.3113,11,1
VP-0155,V-RAW-02,Raw Materials Vendor 02,Raw Materials,East,Inactive,Jun 2025,2025,6,Q2,193897.95,80,Yes,68.2,0.2667,7,0
VP-0156,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,Jun 2025,2025,6,Q2,136472.63,43,Yes,60.3,0.2793,12,1
VP-0157,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,Jun 2025,2025,6,Q2,213754.08,61,Yes,81.3,0.1727,13,0
VP-0158,V-RAW-05,Raw Materials Vendor 05,Raw Materials,Central,Active,Jun 2025,2025,6,Q2,173708.65,34,Yes,69.5,0.3815,11,2
VP-0159,V-RAW-06,Raw Materials Vendor 06,Raw Materials,South,Active,Jun 2025,2025,6,Q2,132074.09,35,Yes,62.0,0.3882,7,1
VP-0143,V-TEC-01,Technology Vendor 01,Technology,South,Active,Jun 2025,2025,6,Q2,208365.36,34,Yes,89.4,0.1327,15,0
VP-0144,V-TEC-02,Technology Vendor 02,Technology,North,Active,Jun 2025,2025,6,Q2,108172.1,87,No,63.3,0.4083,11,0
VP-0145,V-TEC-04,Technology Vendor 04,Technology,West,Probation,Jun 2025,2025,6,Q2,64726.41,84,Yes,59.7,0.5272,11,2
VP-0146,V-TEC-05,Technology Vendor 05,Technology,West,Active,Jun 2025,2025,6,Q2,143501.72,76,No,82.5,0.1799,3,0
VP-0147,V-TEC-06,Technology Vendor 06,Technology,West,Active,Jun 2025,2025,6,Q2,111349.43,63,Yes,99.0,0.0144,9,0
VP-0187,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Jul 2025,2025,7,Q3,58849.0,22,Yes,79.3,0.1076,6,1
VP-0188,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Jul 2025,2025,7,Q3,68706.27,39,Yes,90.2,0.0807,2,0
VP-0189,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Jul 2025,2025,7,Q3,187918.79,39,Yes,72.8,0.3298,14,1
VP-0190,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Jul 2025,2025,7,Q3,142885.18,62,Yes,80.7,0.2597,14,0
VP-0191,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Jul 2025,2025,7,Q3,47766.73,73,Yes,64.2,0.4619,7,1
VP-0192,V-LOG-06,Logistics Vendor 06,Logistics,North,Inactive,Jul 2025,2025,7,Q3,158662.78,59,Yes,66.7,0.3484,7,2
VP-0176,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Jul 2025,2025,7,Q3,128435.42,43,Yes,98.2,0.0116,6,0
VP-0177,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Jul 2025,2025,7,Q3,171800.19,39,Yes,83.2,0.1297,8,1
VP-0178,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Jul 2025,2025,7,Q3,136511.7,62,Yes,88.4,0.127,15,0
VP-0179,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Jul 2025,2025,7,Q3,151000.1,62,Yes,81.2,0.2232,13,0
VP-0180,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Jul 2025,2025,7,Q3,264090.0,65,Yes,90.8,0.093,2,0
