invoice_id,customer_name,customer_segment,invoice_date,due_date,invoice_amount,paid_amount,outstanding_balance,days_overdue,aging_bucket,status,region,sales_rep
INV-0019,RedLine Corp,Corporate,2024-12-08,2025-01-22,38545.64,12339.43,26206.21,130,90+,Partial,North,Carlos Perez
INV-0020,FastMart Inc,Retail,2025-03-25,2025-04-24,25630.24,25630.24,0.0,0,Current,Paid,West,Maria Lopez
INV-0021,UniMart Ltd,Retail,2025-04-22,2025-06-06,38244.28,0.0,38244.28,0,Current,Current,East,Luis Mendez
INV-0022,RedLine Corp,Corporate,2024-12-29,2025-02-12,24685.98,24685.98,0.0,0,Current,Paid,Central,Maria Lopez
INV-0023,Luminary Corp,Corporate,2025-05-17,2025-06-16,43961.48,0.0,43961.48,0,Current,Current,East,Luis Mendez
INV-0024,CityRetail SA,Retail,2025-05-14,2025-06-13,6855.38,0.0,6855.38,0,Current,Current,North,Andres Gomez
INV-0025,PrimeParts Co,SMB,2025-03-25,2025-05-24,48235.96,0.0,48235.96,8,1-30,Overdue,Central,Ana Torres
INV-0026,YieldTech,SMB,2025-02-18,2025-04-04,22185.95,4232.04,17953.91,58,31-60,Partial,South,Sofia Ruiz
INV-0027,Harbor Goods,SMB,2025-05-26,2025-06-25,29627.79,0.0,29627.79,0,Current,Current,North,Diego Herrera
INV-0028,Acme Corp,Corporate,2025-04-03,2025-04-18,45318.29,0.0,45318.29,44,31-60,Overdue,North,Maria Lopez
INV-0029,CityRetail SA,Retail,2025-03-21,2025-05-20,11104.72,11104.72,0.0,0,Current,Paid,Central,Luis Mendez
INV-0030,DynaBuy Inc,Retail,2025-03-30,2025-05-29,40471.1,40471.1,0.0,0,Current,Paid,Central,Andres Gomez
INV-0031,Delta Supplies,SMB,2025-02-12,2025-04-13,23617.72,0.0,23617.72,49,31-60,Overdue,West,Diego Herrera
INV-0032,Vertex Supply,SMB,2025-02-17,2025-04-03,40129.33,40129.33,0.0,0,Current,Paid,North,Maria Lopez
INV-0033,Global Parts Co,Corporate,2025-04-26,2025-06-25,9582.66,0.0,9582.66,0,Current,Current,South,Andres Gomez
INV-0034,Omega Retail,Retail,2025-02-07,2025-02-22,3004.12,0.0,3004.12,99,90+,Overdue,South,Carlos Perez
INV-0035,Apex Retail,Retail,2025-04-01,2025-05-01,20617.5,15431.95,5185.55,31,31-60,Partial,North,Carlos Perez
INV-0036,Crest Corp,Corporate,2025-02-23,2025-03-10,49272.79,49272.79,0.0,0,Current,Paid,North,Ana Torres
INV-0037,Zenith Corp,Corporate,2025-02-12,2025-04-13,8162.44,8162.44,0.0,0,Current,Paid,West,Sofia Ruiz
INV-0038,BlueStar Ltd,Corporate,2025-03-12,2025-03-27,2982.05,2354.45,627.6,66,61-90,Partial,Central,Maria Lopez
INV-0039,QualityGoods,Retail,2025-01-21,2025-02-05,42641.46,42641.46,0.0,0,Current,Paid,South,Maria Lopez
INV-0040,CityRetail SA,Retail,2025-05-01,2025-05-31,29156.49,29156.49,0.0,0,Current,Paid,South,Valentina Cruz
INV-0041,CityRetail SA,Retail,2025-03-26,2025-04-25,33651.44,10068.88,23582.56,37,31-60,Partial,West,Diego Herrera
INV-0042,Eagle Trading,SMB,2025-03-12,2025-03-27,961.12,0.0,961.12,66,61-90,Overdue,East,Andres Gomez
INV-0043,SkyLink SA,SMB,2025-01-14,2025-02-13,25541.29,25541.29,0.0,0,Current,Paid,North,Carlos Perez
INV-0044,Luminary Corp,Corporate,2025-02-26,2025-04-12,8308.47,0.0,8308.47,50,31-60,Overdue,North,Luis Mendez
INV-0045,WaveCo Corp,Corporate,2024-12-12,2025-01-26,46621.92,46621.92,0.0,0,Current,Paid,East,Maria Lopez
INV-0046,Crest Corp,Corporate,2025-05-02,2025-05-17,37249.63,37249.63,0.0,0,Current,Paid,South,Sofia Ruiz
INV-0047,JetLine Inc,Retail,2025-03-05,2025-04-04,34531.11,0.0,34531.11,58,31-60,Overdue,Central,Luis Mendez
INV-0048,QualityGoods,Retail,2025-05-18,2025-06-02,31897.08,0.0,31897.08,0,Current,Current,West,Sofia Ruiz
INV-0049,Apex Retail,Retail,2025-05-31,2025-07-15,38670.4,0.0,38670.4,0,Current,Current,East,Maria Lopez
INV-0050,UniMart Ltd,Retail,2025-02-07,2025-04-08,28264.89,28264.89,0.0,0,Current,Paid,East,Ana Torres
INV-0051,Crest Corp,Corporate,2025-02-26,2025-03-28,21774.44,21774.44,0.0,0,Current,Paid,South,Maria Lopez
INV-0052,Luminary Corp,Corporate,2025-04-08,2025-05-08,33513.2,17423.94,16089.26,24,1-30,Partial,North,Diego Herrera
INV-0053,Bravo Trading,SMB,2025-04-01,2025-05-01,48822.2,0.0,48822.2,31,31-60,Overdue,West,Ana Torres
INV-0054,Crest Corp,Corporate,2025-04-16,2025-05-31,39228.13,23632.22,15595.91,1,1-30,Partial,West,Maria Lopez
INV-0055,XcelBuy SA,Retail,2025-04-21,2025-05-06,19435.82,19435.82,0.0,0,Current,Paid,South,Sofia Ruiz
INV-0056,PrimeParts Co,SMB,2025-02-03,2025-03-20,15606.95,0.0,15606.95,73,61-90,Overdue,South,Luis Mendez
INV-0057,Harbor Goods,SMB,2024-12-14,2025-01-13,20224.07,20224.07,0.0,0,Current,Paid,South,Maria Lopez
INV-0058,CityRetail SA,Retail,2024-12-18,2025-02-16,34136.15,0.0,34136.15,105,90+,Overdue,East,Diego Herrera
INV-0059,KeyStone LLC,SMB,2025-03-26,2025-04-25,29239.19,0.0,29239.19,37,31-60,Overdue,North,Carlos Perez
INV-0060,BlueStar Ltd,Corporate,2025-03-04,2025-04-18,22101.5,0.0,22101.5,44,31-60,Overdue,North,Valentina Cruz
INV-0061,Delta Supplies,SMB,2025-03-27,2025-04-11,35584.87,35584.87,0.0,0,Current,Paid,West,Luis Mendez
INV-0062,DynaBuy Inc,Retail,2025-02-27,2025-04-28,3963.7,0.0,3963.7,34,31-60,Overdue,Central,Luis Mendez
INV-0063,KeyStone LLC,SMB,2024-12-13,2024-12-28,36127.84,11993.12,24134.72,155,90+,Partial,Central,Diego Herrera
INV-0064,NovaTech Ltd,Corporate,2024-12-04,2025-01-18,27943.42,27943.42,0.0,0,Current,Paid,East,Valentina Cruz
INV-0065,Vertex Supply,SMB,2024-12-25,2025-02-08,20600.72,0.0,20600.72,113,90+,Overdue,West,Ana Torres
INV-0066,JetLine Inc,Retail,2025-02-10,2025-03-27,23516.92,6120.89,17396.03,66,61-90,Partial,East,Luis Mendez
INV-0067,PrimeParts Co,SMB,2025-03-20,2025-05-04,5122.67,0.0,5122.67,28,1-30,Overdue,South,Carlos Perez
INV-0068,Harbor Goods,SMB,2025-04-11,2025-05-11,1709.06,1709.06,0.0,0,Current,Paid,East,Luis Mendez
INV-0069,PrimeParts Co,SMB,2025-02-04,2025-04-05,44363.78,0.0,44363.78,57,31-60,Overdue,Central,Carlos Perez
INV-0070,WaveCo Corp,Corporate,2025-02-18,2025-03-20,7804.78,0.0,7804.78,73,61-90,Overdue,West,Andres Gomez
INV-0071,Crest Corp,Corporate,2025-04-05,2025-05-05,40303.44,0.0,40303.44,27,1-30,Overdue,North,Valentina Cruz
INV-0072,Omega Retail,Retail,2025-04-30,2025-06-29,7100.29,0.0,7100.29,0,Current,Current,North,Luis Mendez
INV-0073,Omega Retail,Retail,2025-02-07,2025-04-08,41613.17,32163.07,9450.1,54,31-60,Partial,Central,Diego Herrera
INV-0074,XcelBuy SA,Retail,2025-03-26,2025-04-25,42073.21,42073.21,0.0,0,Current,Paid,West,Andres Gomez
INV-0075,YieldTech,SMB,2024-12-22,2025-01-21,14092.57,14092.57,0.0,0,Current,Paid,Central,Andres Gomez
INV-0076,JetLine Inc,Retail,2025-03-07,2025-04-21,44704.83,44704.83,0.0,0,Current,Paid,South,Sofia Ruiz
INV-0077,Eagle Trading,SMB,2024-12-05,2025-01-04,35467.75,35467.75,0.0,0,Current,Paid,South,Valentina Cruz
INV-0078,NovaTech Ltd,Corporate,2025-02-14,2025-03-01,10738.3,8361.15,2377.15,92,90+,Partial,East,Andres Gomez
INV-0079,SkyLink SA,SMB,2025-01-29,2025-02-13,47165.71,47165.71,0.0,0,Current,Paid,North,Valentina Cruz
INV-0080,MegaBuy SA,Retail,2025-01-27,2025-02-26,14010.3,5487.03,8523.27,95,90+,Partial,West,Luis Mendez
INV-0081,Vertex Supply,SMB,2025-02-01,2025-03-03,49045.74,38265.32,10780.42,90,61-90,Partial,West,Ana Torres
INV-0082,SkyLink SA,SMB,2025-05-10,2025-07-09,7217.12,0.0,7217.12,0,Current,Current,Central,Maria Lopez
INV-0083,Omega Retail,Retail,2025-03-26,2025-05-25,16703.96,5898.59,10805.37,7,1-30,Partial,South,Maria Lopez
INV-0084,Crest Corp,Corporate,2025-02-13,2025-03-30,41828.09,27680.5,14147.59,63,61-90,Partial,West,Sofia Ruiz
INV-0085,BlueStar Ltd,Corporate,2024-12-16,2024-12-31,39171.04,0.0,39171.04,152,90+,Overdue,East,Luis Mendez
INV-0086,YieldTech,SMB,2025-04-10,2025-04-25,31256.12,31256.12,0.0,0,Current,Paid,North,Luis Mendez
INV-0087,PrimeParts Co,SMB,2025-02-01,2025-03-18,38461.46,38461.46,0.0,0,Current,Paid,North,Luis Mendez
INV-0088,TechWorld Inc,Corporate,2025-03-13,2025-03-28,29144.89,0.0,29144.89,65,61-90,Overdue,North,Ana Torres
INV-0089,SkyLink SA,SMB,2025-04-11,2025-04-26,29808.84,0.0,29808.84,36,31-60,Overdue,West,Valentina Cruz
INV-0090,Harbor Goods,SMB,2024-12-07,2024-12-22,39913.25,0.0,39913.25,161,90+,Overdue,North,Sofia Ruiz
INV-0091,BlueStar Ltd,Corporate,2024-12-13,2025-01-27,3913.36,0.0,3913.36,125,90+,Overdue,East,Valentina Cruz
INV-0092,Acme Corp,Corporate,2025-05-04,2025-07-03,48058.98,0.0,48058.98,0,Current,Current,West,Andres Gomez
INV-0093,UniMart Ltd,Retail,2025-02-09,2025-03-11,36822.87,0.0,36822.87,82,61-90,Overdue,West,Ana Torres
INV-0094,Intex Solutions,Corporate,2025-02-01,2025-04-02,41373.86,0.0,41373.86,60,31-60,Overdue,Central,Andres Gomez
INV-0095,KeyStone LLC,SMB,2025-03-21,2025-05-20,12571.24,7011.59,5559.65,12,1-30,Partial,South,Carlos Perez
INV-0096,MegaBuy SA,Retail,2025-01-25,2025-03-11,9501.07,9501.07,0.0,0,Current,Paid,East,Maria Lopez
INV-0097,Zenith Corp,Corporate,2025-03-21,2025-05-05,28011.66,6815.02,21196.64,27,1-30,Partial,East,Diego Herrera
INV-0098,Harbor Goods,SMB,2025-01-09,2025-02-08,34685.16,0.0,34685.16,113,90+,Overdue,West,Andres Gomez
INV-0099,PrimeParts Co,SMB,2025-05-08,2025-06-22,11469.02,0.0,11469.02,0,Current,Current,West,Maria Lopez
INV-0100,WaveCo Corp,Corporate,2024-12-13,2025-01-27,23926.39,10028.22,13898.17,125,90+,Partial,South,Sofia Ruiz
INV-0101,XcelBuy SA,Retail,2025-03-02,2025-05-01,13910.36,13910.36,0.0,0,Current,Paid,Central,Diego Herrera
INV-0102,Delta Supplies,SMB,2025-05-01,2025-05-31,9981.28,0.0,9981.28,1,1-30,Overdue,South,Diego Herrera
INV-0103,Intex Solutions,Corporate,2025-05-06,2025-06-05,15164.2,0.0,15164.2,0,Current,Current,Central,Sofia Ruiz
INV-0104,Luminary Corp,Corporate,2025-05-28,2025-06-27,14078.41,0.0,14078.41,0,Current,Current,South,Sofia Ruiz
INV-0105,BlueStar Ltd,Corporate,2024-12-04,2025-01-03,32074.55,0.0,32074.55,149,90+,Overdue,Central,Sofia Ruiz
INV-0106,Delta Supplies,SMB,2025-01-31,2025-04-01,22303.21,22303.21,0.0,0,Current,Paid,North,Sofia Ruiz
INV-0107,BlueStar Ltd,Corporate,2025-05-02,2025-05-17,20335.02,20335.02,0.0,0,Current,Paid,East,Andres Gomez
INV-0108,UniMart Ltd,Retail,2025-04-23,2025-06-07,4716.45,0.0,4716.45,0,Current,Current,North,Ana Torres
INV-0109,Harbor Goods,SMB,2024-12-27,2025-01-26,38896.83,30393.14,8503.69,126,90+,Partial,North,Valentina Cruz
INV-0110,JetLine Inc,Retail,2025-03-14,2025-03-29,30676.73,0.0,30676.73,64,61-90,Overdue,Central,Valentina Cruz
INV-0111,YieldTech,SMB,2025-03-25,2025-04-09,8274.33,8274.33,0.0,0,Current,Paid,South,Luis Mendez
INV-0112,CityRetail SA,Retail,2025-02-16,2025-04-17,34623.87,4309.98,30313.89,45,31-60,Partial,South,Maria Lopez
INV-0113,JetLine Inc,Retail,2025-05-13,2025-06-12,46233.6,0.0,46233.6,0,Current,Current,East,Andres Gomez
INV-0114,Zenith Corp,Corporate,2025-02-12,2025-02-27,27455.84,0.0,27455.84,94,90+,Overdue,Central,Luis Mendez
INV-0115,DynaBuy Inc,Retail,2025-05-13,2025-05-28,8713.18,5765.67,2947.51,4,1-30,Partial,East,Ana Torres
INV-0116,SkyLink SA,SMB,2025-04-30,2025-06-29,34589.56,0.0,34589.56,0,Current,Current,East,Andres Gomez
INV-0117,WaveCo Corp,Corporate,2025-01-23,2025-03-24,22169.06,0.0,22169.06,69,61-90,Overdue,West,Sofia Ruiz
INV-0118,Crest Corp,Corporate,2024-12-28,2025-02-11,1780.31,1780.31,0.0,0,Current,Paid,West,Diego Herrera
INV-0119,Vertex Supply,SMB,2024-12-10,2025-01-24,29024.23,0.0,29024.23,128,90+,Overdue,Central,Maria Lopez
INV-0120,FastMart Inc,Retail,2025-03-21,2025-04-20,49848.8,35426.73,14422.07,42,31-60,Partial,West,Andres Gomez
INV-0121,CityRetail SA,Retail,2025-02-16,2025-04-02,16392.38,16392.38,0.0,0,Current,Paid,West,Diego Herrera
INV-0122,FastMart Inc,Retail,2024-12-05,2025-02-03,14766.78,0.0,14766.78,118,90+,Overdue,East,Valentina Cruz
INV-0123,Apex Retail,Retail,2025-02-04,2025-02-19,16068.6,13298.99,2769.61,102,90+,Partial,Central,Maria Lopez
INV-0124,MegaBuy SA,Retail,2024-12-14,2025-02-12,20955.75,20955.75,0.0,0,Current,Paid,Central,Maria Lopez
INV-0125,Luminary Corp,Corporate,2024-12-22,2025-02-20,38119.53,38119.53,0.0,0,Current,Paid,Central,Andres Gomez
INV-0126,RedLine Corp,Corporate,2025-02-08,2025-04-09,6510.59,0.0,6510.59,53,31-60,Overdue,South,Sofia Ruiz
INV-0127,TechWorld Inc,Corporate,2025-03-13,2025-03-28,27836.44,27836.44,0.0,0,Current,Paid,South,Ana Torres
INV-0128,Apex Retail,Retail,2025-05-01,2025-05-31,25169.59,0.0,25169.59,1,1-30,Overdue,North,Andres Gomez
INV-0129,QualityGoods,Retail,2025-01-28,2025-03-29,12564.68,0.0,12564.68,64,61-90,Overdue,East,Valentina Cruz
INV-0130,MegaBuy SA,Retail,2025-05-14,2025-06-28,38747.42,0.0,38747.42,0,Current,Current,South,Ana Torres
INV-0131,Bravo Trading,SMB,2025-01-22,2025-03-08,41117.2,41117.2,0.0,0,Current,Paid,West,Diego Herrera
INV-0132,JetLine Inc,Retail,2025-04-23,2025-06-22,27159.74,0.0,27159.74,0,Current,Current,Central,Andres Gomez
INV-0133,Luminary Corp,Corporate,2025-02-04,2025-03-21,43545.28,0.0,43545.28,72,61-90,Overdue,East,Valentina Cruz
INV-0134,Harbor Goods,SMB,2025-04-02,2025-06-01,2660.54,0.0,2660.54,0,Current,Current,Central,Valentina Cruz
INV-0135,XcelBuy SA,Retail,2025-02-22,2025-03-24,25018.77,25018.77,0.0,0,Current,Paid,West,Valentina Cruz
INV-0136,QualityGoods,Retail,2025-05-06,2025-07-05,5435.73,0.0,5435.73,0,Current,Current,Central,Diego Herrera
INV-0137,DynaBuy Inc,Retail,2025-04-25,2025-06-24,43611.18,0.0,43611.18,0,Current,Current,West,Maria Lopez
INV-0138,Eagle Trading,SMB,2025-03-25,2025-05-09,31351.34,5023.63,26327.71,23,1-30,Partial,North,Andres Gomez
INV-0139,KeyStone LLC,SMB,2025-03-11,2025-05-10,43682.96,43682.96,0.0,0,Current,Paid,Central,Valentina Cruz
INV-0140,CityRetail SA,Retail,2025-04-03,2025-04-18,21981.59,21981.59,0.0,0,Current,Paid,South,Sofia Ruiz
INV-0141,UniMart Ltd,Retail,2025-04-19,2025-06-03,45219.49,0.0,45219.49,0,Current,Current,North,Andres Gomez
INV-0142,BlueStar Ltd,Corporate,2025-03-17,2025-05-01,19054.63,19054.63,0.0,0,Current,Paid,East,Maria Lopez
INV-0143,QualityGoods,Retail,2025-04-18,2025-05-18,4408.93,0.0,4408.93,14,1-30,Overdue,West,Ana Torres
INV-0144,TechWorld Inc,Corporate,2025-01-02,2025-02-01,11993.33,0.0,11993.33,120,90+,Overdue,South,Andres Gomez
INV-0145,Omega Retail,Retail,2025-02-01,2025-03-18,34041.74,34041.74,0.0,0,Current,Paid,East,Maria Lopez
INV-0146,Omega Retail,Retail,2024-12-19,2025-02-17,34670.52,11323.09,23347.43,104,90+,Partial,East,Sofia Ruiz
INV-0147,MegaBuy SA,Retail,2025-04-01,2025-05-31,28810.17,0.0,28810.17,1,1-30,Overdue,West,Carlos Perez
INV-0148,WaveCo Corp,Corporate,2024-12-14,2025-02-12,14086.78,0.0,14086.78,109,90+,Overdue,East,Maria Lopez
INV-0149,Vertex Supply,SMB,2025-03-19,2025-04-18,30549.72,17641.35,12908.37,44,31-60,Partial,North,Andres Gomez
INV-0150,TechWorld Inc,Corporate,2024-12-22,2025-01-06,45218.48,0.0,45218.48,146,90+,Overdue,East,Ana Torres
INV-0151,JetLine Inc,Retail,2025-01-03,2025-02-17,36751.81,36751.81,0.0,0,Current,Paid,West,Maria Lopez
INV-0152,JetLine Inc,Retail,2025-04-17,2025-05-17,7041.91,5835.05,1206.86,15,1-30,Partial,East,Valentina Cruz
INV-0153,QualityGoods,Retail,2025-04-19,2025-06-03,45745.42,0.0,45745.42,0,Current,Current,Central,Sofia Ruiz
INV-0154,PrimeParts Co,SMB,2025-05-02,2025-07-01,48163.22,0.0,48163.22,0,Current,Current,East,Diego Herrera
INV-0155,Eagle Trading,SMB,2025-01-09,2025-02-23,4969.99,1482.77,3487.22,98,90+,Partial,South,Valentina Cruz
INV-0156,Delta Supplies,SMB,2024-12-10,2025-01-24,29435.72,0.0,29435.72,128,90+,Overdue,West,Diego Herrera
INV-0157,Luminary Corp,Corporate,2025-01-31,2025-02-15,31167.57,0.0,31167.57,106,90+,Overdue,North,Luis Mendez
INV-0158,KeyStone LLC,SMB,2024-12-17,2025-01-01,31952.49,19996.12,11956.37,151,90+,Partial,Central,Luis Mendez
INV-0159,UniMart Ltd,Retail,2025-04-26,2025-05-11,47339.95,22224.61,25115.34,21,1-30,Partial,West,Carlos Perez
INV-0160,Delta Supplies,SMB,2025-02-21,2025-04-22,18865.07,0.0,18865.07,40,31-60,Overdue,South,Ana Torres
INV-0161,WaveCo Corp,Corporate,2025-01-01,2025-01-31,44327.98,0.0,44327.98,121,90+,Overdue,Central,Valentina Cruz
INV-0162,Apex Retail,Retail,2025-03-21,2025-04-05,34668.89,34668.89,0.0,0,Current,Paid,West,Valentina Cruz
INV-0163,Omega Retail,Retail,2025-05-06,2025-06-20,27451.06,0.0,27451.06,0,Current,Current,South,Diego Herrera
INV-0164,UniMart Ltd,Retail,2025-02-19,2025-04-05,9895.52,9895.52,0.0,0,Current,Paid,East,Maria Lopez
INV-0165,Bravo Trading,SMB,2024-12-13,2025-01-12,32264.37,0.0,32264.37,140,90+,Overdue,West,Carlos Perez
INV-0166,Acme Corp,Corporate,2025-03-30,2025-04-29,39455.42,39455.42,0.0,0,Current,Paid,North,Diego Herrera
INV-0167,Apex Retail,Retail,2025-01-01,2025-01-31,40746.12,40746.12,0.0,0,Current,Paid,Central,Luis Mendez
INV-0168,YieldTech,SMB,2025-03-22,2025-04-21,49382.6,34512.78,14869.82,41,31-60,Partial,South,Maria Lopez
INV-0169,Delta Supplies,SMB,2025-05-28,2025-07-12,39604.24,0.0,39604.24,0,Current,Current,North,Ana Torres
INV-0170,Harbor Goods,SMB,2025-05-27,2025-06-26,13635.69,0.0,13635.69,0,Current,Current,Central,Diego Herrera
INV-0171,Eagle Trading,SMB,2025-05-15,2025-07-14,22689.62,0.0,22689.62,0,Current,Current,West,Carlos Perez
INV-0172,Luminary Corp,Corporate,2025-02-05,2025-03-07,47298.07,47298.07,0.0,0,Current,Paid,Central,Carlos Perez
INV-0173,Zenith Corp,Corporate,2025-02-03,2025-02-18,3510.86,1408.6,2102.26,103,90+,Partial,Central,Sofia Ruiz
INV-0174,Vertex Supply,SMB,2025-02-07,2025-02-22,45013.7,9509.16,35504.54,99,90+,Partial,North,Andres Gomez
INV-0175,Eagle Trading,SMB,2025-02-23,2025-04-09,22958.91,0.0,22958.91,53,31-60,Overdue,East,Diego Herrera
INV-0176,Delta Supplies,SMB,2025-02-10,2025-04-11,44460.51,32036.66,12423.85,51,31-60,Partial,North,Luis Mendez
INV-0177,MegaBuy SA,Retail,2025-03-12,2025-05-11,15969.92,15969.92,0.0,0,Current,Paid,West,Carlos Perez
INV-0178,Eagle Trading,SMB,2025-05-08,2025-05-23,5114.89,5114.89,0.0,0,Current,Paid,West,Carlos Perez
INV-0179,XcelBuy SA,Retail,2025-01-09,2025-01-24,29530.02,0.0,29530.02,128,90+,Overdue,East,Ana Torres
INV-0180,KeyStone LLC,SMB,2025-03-02,2025-05-01,43470.56,0.0,43470.56,31,31-60,Overdue,North,Valentina Cruz
INV-0181,JetLine Inc,Retail,2025-03-02,2025-03-17,29106.97,29106.97,0.0,0,Current,Paid,Central,Sofia Ruiz
INV-0182,Vertex Supply,SMB,2025-05-04,2025-06-18,42345.98,0.0,42345.98,0,Current,Current,West,Luis Mendez
INV-0183,Luminary Corp,Corporate,2025-01-05,2025-02-04,40457.46,0.0,40457.46,117,90+,Overdue,North,Sofia Ruiz
INV-0184,YieldTech,SMB,2024-12-27,2025-02-10,1933.18,1933.18,0.0,0,Current,Paid,Central,Maria Lopez
INV-0185,YieldTech,SMB,2025-03-03,2025-03-18,9479.58,9479.58,0.0,0,Current,Paid,East,Diego Herrera
INV-0186,Vertex Supply,SMB,2025-04-25,2025-05-10,5042.01,1926.78,3115.23,22,1-30,Partial,West,Carlos Perez
INV-0187,Omega Retail,Retail,2025-02-26,2025-04-12,36219.0,0.0,36219.0,50,31-60,Overdue,East,Ana Torres
INV-0188,SkyLink SA,SMB,2025-05-18,2025-06-17,8291.79,0.0,8291.79,0,Current,Current,Central,Carlos Perez
INV-0189,TechWorld Inc,Corporate,2025-03-23,2025-05-22,33265.97,14355.37,18910.6,10,1-30,Partial,North,Carlos Perez
INV-0190,Intex Solutions,Corporate,2025-03-04,2025-05-03,5989.04,0.0,5989.04,29,1-30,Overdue,South,Carlos Perez
INV-0191,SkyLink SA,SMB,2025-05-20,2025-06-19,20065.54,0.0,20065.54,0,Current,Current,West,Sofia Ruiz
INV-0192,TechWorld Inc,Corporate,2025-04-09,2025-05-24,47293.54,0.0,47293.54,8,1-30,Overdue,North,Maria Lopez
INV-0193,YieldTech,SMB,2025-03-09,2025-03-24,882.63,0.0,882.63,69,61-90,Overdue,East,Sofia Ruiz
INV-0194,FastMart Inc,Retail,2025-01-15,2025-02-14,25262.99,0.0,25262.99,107,90+,Overdue,South,Valentina Cruz
INV-0195,Zenith Corp,Corporate,2025-02-19,2025-03-06,22092.87,3499.44,18593.43,87,61-90,Partial,East,Carlos Perez
INV-0196,KeyStone LLC,SMB,2025-01-05,2025-03-06,35620.2,6638.89,28981.31,87,61-90,Partial,Central,Valentina Cruz
INV-0197,Acme Corp,Corporate,2024-12-24,2025-02-22,41685.28,0.0,41685.28,99,90+,Overdue,East,Ana Torres
INV-0198,CityRetail SA,Retail,2025-03-30,2025-05-29,29649.13,11765.52,17883.61,3,1-30,Partial,West,Carlos Perez
INV-0199,JetLine Inc,Retail,2025-03-07,2025-04-06,4280.78,0.0,4280.78,56,31-60,Overdue,East,Luis Mendez
INV-0200,QualityGoods,Retail,2025-03-03,2025-04-17,36505.27,0.0,36505.27,45,31-60,Overdue,Central,Luis Mendez
INV-0201,Apex Retail,Retail,2025-05-05,2025-06-04,13170.43,0.0,13170.43,0,Current,Current,South,Luis Mendez
INV-0202,FastMart Inc,Retail,2024-12-15,2024-12-30,9268.73,0.0,9268.73,153,90+,Overdue,Central,Ana Torres
INV-0203,PrimeParts Co,SMB,2024-12-08,2025-01-22,43280.22,0.0,43280.22,130,90+,Overdue,West,Andres Gomez
INV-0204,Eagle Trading,SMB,2025-01-31,2025-04-01,31753.56,0.0,31753.56,61,61-90,Overdue,West,Carlos Perez
INV-0205,SkyLink SA,SMB,2025-01-22,2025-02-06,15865.19,2263.45,13601.74,115,90+,Partial,North,Diego Herrera
INV-0206,Apex Retail,Retail,2024-12-17,2025-01-01,30942.92,13832.53,17110.39,151,90+,Partial,East,Carlos Perez
INV-0207,RedLine Corp,Corporate,2025-01-05,2025-02-04,16415.57,3498.91,12916.66,117,90+,Partial,North,Andres Gomez
