record_id,period,year,month,quarter,transaction_type,entity_name,entity_segment,region,invoice_amount,paid_amount,outstanding_balance,overdue_amount,days_overdue,aging_bucket,status,payment_terms
143,2025-11,2025,11,Q4,AR,Echo Solutions,SMB,Central,208679.54,46294.77,162384.77,162384.77,26,1-30,Partial,2/10 Net 30
64,2026-01,2026,1,Q1,AR,Kite Ventures,Startup,North,124449.73,79667.74,44781.99,44781.99,26,1-30,Partial,Net 60
461,2026-04,2026,4,Q2,AP,Reliant Power,Utilities,North,138404.36,0.0,138404.36,0.0,0,Current,Current,Net 30
367,2025-04,2025,4,Q2,AP,InfoSys Partners,Consulting,South,49750.13,49750.13,0.0,0.0,4,1-30,Paid,Net 30
232,2025-03,2025,3,Q1,AR,Metro Bank,Government,West,161003.28,15574.83,145428.45,145428.45,3,1-30,Overdue,Net 45
614,2025-02,2025,2,Q1,AP,BrightTech Parts,Technology,West,78348.48,9652.04,68696.44,68696.44,56,31-60,Overdue,Net 90
29,2026-05,2026,5,Q2,AR,Apex Corp,Enterprise,Central,235037.85,0.0,235037.85,0.0,0,Current,Current,Net 45
510,2025-01,2025,1,Q1,AP,LightHouse Media,Marketing,East,179291.01,0.0,179291.01,0.0,0,Current,Current,2/10 Net 30
334,2026-05,2026,5,Q2,AR,National Agency,Government,North,149043.86,88364.05,60679.81,60679.81,30,1-30,Partial,Net 30
181,2025-12,2025,12,Q4,AR,BlueSky Ltd,Enterprise,West,93818.33,0.0,93818.33,0.0,0,Current,Current,Net 60
692,2026-06,2026,6,Q2,AP,Keystone Energy,Utilities,West,116522.99,2378.68,114144.31,114144.31,45,31-60,Overdue,Net 45
313,2025-06,2025,6,Q2,AR,Harbor Shops,Retail,Central,92901.87,62595.36,30306.51,0.0,0,Current,Partial,2/10 Net 30
396,2026-06,2026,6,Q2,AP,Reliant Power,Utilities,West,40763.62,0.0,40763.62,0.0,0,Current,Current,Net 60
639,2026-01,2026,1,Q1,AP,Crown Logistics,Logistics,North,76368.98,76368.98,0.0,0.0,15,1-30,Paid,2/10 Net 30
564,2026-06,2026,6,Q2,AP,BrightTech Parts,Technology,North,66586.3,66586.3,0.0,0.0,31,31-60,Paid,Net 60
543,2025-12,2025,12,Q4,AP,Crown Logistics,Logistics,South,177100.52,0.0,177100.52,0.0,0,Current,Current,2/10 Net 30
550,2025-11,2025,11,Q4,AP,OmniSource,Office,North,23259.49,0.0,23259.49,0.0,0,Current,Current,2/10 Net 30
689,2025-08,2025,8,Q3,AP,OmniSource,Office,West,167168.81,58293.68,108875.13,0.0,0,Current,Partial,Net 60
454,2025-05,2025,5,Q2,AP,Quality Goods,Office,Central,56106.05,832.96,55273.09,55273.09,49,31-60,Overdue,2/10 Net 30
312,2025-09,2025,9,Q3,AR,River Trade,Retail,North,146044.57,146044.57,0.0,0.0,60,31-60,Paid,Net 90
660,2026-01,2026,1,Q1,AP,Master Builders,Manufacturing,Central,160959.69,4835.15,156124.54,156124.54,134,90+,Overdue,Net 45
147,2025-10,2025,10,Q4,AR,Cedar Group,Enterprise,South,41100.42,26399.41,14701.01,0.0,0,Current,Partial,Net 90
311,2025-08,2025,8,Q3,AR,Apex Corp,Enterprise,East,134710.91,71185.58,63525.33,0.0,0,Current,Partial,2/10 Net 30
28,2025-09,2025,9,Q3,AR,Echo Solutions,SMB,East,95534.14,48324.88,47209.26,47209.26,78,61-90,Partial,Net 45
256,2025-06,2025,6,Q2,AR,National Agency,Government,West,53344.49,0.0,53344.49,0.0,0,Current,Current,2/10 Net 30
282,2026-05,2026,5,Q2,AR,Global Retail,Retail,West,224988.58,0.0,224988.58,0.0,0,Current,Current,Net 45
538,2026-03,2026,3,Q1,AP,Dura Materials,Manufacturing,South,76285.28,76285.28,0.0,0.0,48,31-60,Paid,Net 60
513,2026-06,2026,6,Q2,AP,Elite Services,Consulting,South,124076.61,13123.64,110952.97,110952.97,28,1-30,Overdue,Net 45
384,2026-05,2026,5,Q2,AP,Master Builders,Manufacturing,West,137940.31,83095.02,54845.29,54845.29,148,90+,Partial,Net 60
327,2025-07,2025,7,Q3,AR,Falcon Tech,SMB,East,33299.69,1323.68,31976.01,31976.01,175,90+,Overdue,Net 90
389,2025-10,2025,10,Q4,AP,InfoSys Partners,Consulting,South,55239.88,849.15,54390.73,54390.73,42,31-60,Overdue,2/10 Net 30
126,2025-02,2025,2,Q1,AR,Harbor Shops,Retail,West,55083.67,2391.57,52692.1,52692.1,123,90+,Overdue,Net 45
428,2025-05,2025,5,Q2,AP,Reliant Power,Utilities,North,117914.02,12339.28,105574.74,105574.74,88,61-90,Overdue,2/10 Net 30
13,2025-04,2025,4,Q2,AR,Jupiter Startup,Startup,Central,191815.15,95806.35,96008.8,96008.8,60,31-60,Partial,2/10 Net 30
198,2025-01,2025,1,Q1,AR,Jupiter Startup,Startup,Central,87085.32,87085.32,0.0,0.0,48,31-60,Paid,Net 90
685,2025-08,2025,8,Q3,AP,Network Pro,Technology,South,174676.46,0.0,174676.46,0.0,0,Current,Current,Net 90
569,2026-04,2026,4,Q2,AP,HarbourFreight,Logistics,Central,105014.37,26944.82,78069.55,0.0,0,Current,Partial,Net 30
179,2025-03,2025,3,Q1,AR,Metro Bank,Government,Central,147919.31,94841.39,53077.92,53077.92,2,1-30,Partial,Net 30
85,2025-10,2025,10,Q4,AR,Quantum Ltd,SMB,East,120693.85,16689.57,104004.28,104004.28,18,1-30,Overdue,Net 90
682,2025-02,2025,2,Q1,AP,Prime Vendors,Consulting,North,58561.15,37970.27,20590.88,0.0,0,Current,Partial,Net 60
401,2026-02,2026,2,Q1,AP,Crown Logistics,Logistics,South,9705.88,4649.53,5056.35,0.0,0,Current,Partial,Net 30
295,2025-10,2025,10,Q4,AR,Kite Ventures,Startup,North,54164.43,17402.6,36761.83,36761.83,26,1-30,Partial,2/10 Net 30
220,2025-03,2025,3,Q1,AR,Global Retail,Retail,Central,122451.58,17213.5,105238.08,105238.08,60,31-60,Overdue,Net 60
514,2026-05,2026,5,Q2,AP,Elite Services,Consulting,West,28691.97,13733.99,14957.98,14957.98,99,90+,Partial,2/10 Net 30
438,2025-08,2025,8,Q3,AP,FirmBase Infra,Technology,North,175689.32,93964.1,81725.22,0.0,0,Current,Partial,Net 30
315,2025-01,2025,1,Q1,AR,Kite Ventures,Startup,Central,180649.72,0.0,180649.72,0.0,0,Current,Current,Net 60
293,2026-02,2026,2,Q1,AR,Harbor Shops,Retail,East,83384.11,44749.15,38634.96,0.0,0,Current,Partial,Net 30
374,2026-01,2026,1,Q1,AP,Elite Services,Consulting,Central,5061.14,660.04,4401.1,4401.1,76,61-90,Overdue,Net 45
631,2025-12,2025,12,Q4,AP,OmniSource,Office,Central,24503.73,3483.66,21020.07,21020.07,109,90+,Overdue,Net 30
450,2025-01,2025,1,Q1,AP,Acme Supplies,Office,South,67003.61,0.0,67003.61,0.0,0,Current,Current,Net 60
304,2025-06,2025,6,Q2,AR,Apex Corp,Enterprise,West,139779.62,2546.5,137233.12,137233.12,86,61-90,Overdue,Net 30
583,2025-01,2025,1,Q1,AP,Network Pro,Technology,North,65218.41,6059.42,59158.99,59158.99,9,1-30,Overdue,Net 60
77,2025-10,2025,10,Q4,AR,Oak Institute,Government,North,103614.59,24890.39,78724.2,78724.2,17,1-30,Partial,Net 60
342,2025-04,2025,4,Q2,AR,Apex Corp,Enterprise,South,48508.01,1189.76,47318.25,47318.25,19,1-30,Overdue,Net 90
305,2025-02,2025,2,Q1,AR,Harbor Shops,Retail,South,173139.89,0.0,173139.89,0.0,0,Current,Current,Net 30
646,2025-11,2025,11,Q4,AP,Java Components,Manufacturing,East,19962.51,410.08,19552.43,19552.43,57,31-60,Overdue,2/10 Net 30
581,2025-11,2025,11,Q4,AP,InfoSys Partners,Consulting,East,106399.3,60345.08,46054.22,46054.22,52,31-60,Partial,Net 90
624,2026-01,2026,1,Q1,AP,FirmBase Infra,Technology,East,32163.62,4221.44,27942.18,27942.18,110,90+,Overdue,Net 30
352,2025-11,2025,11,Q4,AP,Crown Logistics,Logistics,South,57354.09,24770.1,32583.99,0.0,0,Current,Partial,Net 60
216,2025-06,2025,6,Q2,AR,National Agency,Government,Central,235688.67,235688.67,0.0,0.0,26,1-30,Paid,Net 90
31,2025-03,2025,3,Q1,AR,National Agency,Government,East,37050.82,0.0,37050.82,0.0,0,Current,Current,Net 60
547,2025-10,2025,10,Q4,AP,Keystone Energy,Utilities,South,176862.4,75994.98,100867.42,100867.42,35,31-60,Partial,2/10 Net 30
412,2025-04,2025,4,Q2,AP,FirmBase Infra,Technology,Central,149280.53,0.0,149280.53,0.0,0,Current,Current,2/10 Net 30
1,2025-04,2025,4,Q2,AR,Apex Corp,Enterprise,East,30111.32,0.0,30111.32,0.0,0,Current,Current,2/10 Net 30
446,2025-09,2025,9,Q3,AP,General Utilities,Utilities,South,112491.65,0.0,112491.65,0.0,0,Current,Current,Net 45
279,2025-06,2025,6,Q2,AR,Oak Institute,Government,East,42086.66,547.26,41539.4,41539.4,52,31-60,Overdue,Net 90
195,2025-11,2025,11,Q4,AR,Peak Analytics,Enterprise,North,241307.1,105867.28,135439.82,135439.82,51,31-60,Partial,Net 45
678,2026-06,2026,6,Q2,AP,Network Pro,Technology,Central,38514.7,22445.02,16069.68,16069.68,38,31-60,Partial,Net 90
294,2025-02,2025,2,Q1,AR,Falcon Tech,SMB,South,238749.45,140089.52,98659.93,98659.93,88,61-90,Partial,Net 30
582,2025-07,2025,7,Q3,AP,Quality Goods,Office,East,58448.76,58448.76,0.0,0.0,22,1-30,Paid,Net 30
402,2025-08,2025,8,Q3,AP,InfoSys Partners,Consulting,West,79645.43,0.0,79645.43,0.0,0,Current,Current,Net 30
531,2026-06,2026,6,Q2,AP,General Utilities,Utilities,North,64776.51,0.0,64776.51,0.0,0,Current,Current,Net 45
180,2026-04,2026,4,Q2,AR,Jupiter Startup,Startup,Central,37814.06,0.0,37814.06,0.0,0,Current,Current,Net 60
656,2025-04,2025,4,Q2,AP,FirmBase Infra,Technology,East,94022.43,6570.78,87451.65,87451.65,106,90+,Overdue,Net 90
423,2025-06,2025,6,Q2,AP,Elite Services,Consulting,Central,12896.42,0.0,12896.42,0.0,0,Current,Current,Net 60
164,2026-03,2026,3,Q1,AR,Cedar Group,Enterprise,Central,82024.43,0.0,82024.43,0.0,0,Current,Current,Net 60
34,2025-08,2025,8,Q3,AR,Delta Inc,SMB,East,104562.46,66115.14,38447.32,38447.32,90,61-90,Partial,2/10 Net 30
48,2026-02,2026,2,Q1,AR,River Trade,Retail,West,121295.24,5045.48,116249.76,116249.76,87,61-90,Overdue,Net 60
648,2026-06,2026,6,Q2,AP,Quality Goods,Office,Central,145056.71,17816.84,127239.87,127239.87,60,31-60,Overdue,Net 90
269,2025-09,2025,9,Q3,AR,Echo Solutions,SMB,South,207978.04,69539.24,138438.8,0.0,0,Current,Partial,Net 90
537,2026-05,2026,5,Q2,AP,Prime Vendors,Consulting,West,44191.73,44191.73,0.0,0.0,31,31-60,Paid,Net 60
606,2025-02,2025,2,Q1,AP,LightHouse Media,Marketing,East,112177.03,0.0,112177.03,0.0,0,Current,Current,Net 90
558,2025-06,2025,6,Q2,AP,Prime Vendors,Consulting,West,125848.6,0.0,125848.6,0.0,0,Current,Current,Net 90
141,2026-05,2026,5,Q2,AR,Cedar Group,Enterprise,West,80672.19,25272.3,55399.89,55399.89,11,1-30,Partial,Net 45
629,2025-06,2025,6,Q2,AP,Reliant Power,Utilities,East,128335.67,0.0,128335.67,0.0,0,Current,Current,Net 45
356,2025-07,2025,7,Q3,AP,FirmBase Infra,Technology,Central,138151.74,8898.56,129253.18,129253.18,50,31-60,Overdue,Net 30
392,2025-12,2025,12,Q4,AP,Reliant Power,Utilities,Central,37249.1,25375.49,11873.61,0.0,0,Current,Partial,Net 90
302,2025-12,2025,12,Q4,AR,Global Retail,Retail,West,34378.82,0.0,34378.82,0.0,0,Current,Current,Net 45
206,2026-06,2026,6,Q2,AR,Echo Solutions,SMB,South,33478.81,0.0,33478.81,0.0,0,Current,Current,Net 45
605,2025-02,2025,2,Q1,AP,General Utilities,Utilities,North,174437.57,24142.33,150295.24,150295.24,36,31-60,Overdue,Net 90
251,2025-11,2025,11,Q4,AR,National Agency,Government,North,130115.68,0.0,130115.68,0.0,0,Current,Current,2/10 Net 30
362,2025-02,2025,2,Q1,AP,BrightTech Parts,Technology,North,125085.71,40824.12,84261.59,84261.59,15,1-30,Partial,Net 90
239,2025-05,2025,5,Q2,AR,Metro Bank,Government,East,236025.26,62842.55,173182.71,173182.71,12,1-30,Partial,Net 90
80,2026-04,2026,4,Q2,AR,Lumen Digital,Startup,West,215144.61,0.0,215144.61,0.0,0,Current,Current,Net 60
630,2025-11,2025,11,Q4,AP,Elite Services,Consulting,West,102560.24,0.0,102560.24,0.0,0,Current,Current,Net 30
649,2025-01,2025,1,Q1,AP,Prime Vendors,Consulting,East,147615.85,0.0,147615.85,0.0,0,Current,Current,2/10 Net 30
261,2025-11,2025,11,Q4,AR,Oak Institute,Government,Central,7347.94,0.0,7347.94,0.0,0,Current,Current,Net 45
566,2025-12,2025,12,Q4,AP,Network Pro,Technology,South,25222.2,14141.32,11080.88,0.0,0,Current,Partial,Net 30
139,2025-10,2025,10,Q4,AR,IronClad Stores,Retail,Central,147771.18,15482.28,132288.9,132288.9,70,61-90,Overdue,Net 45
429,2026-02,2026,2,Q1,AP,HarbourFreight,Logistics,West,107261.51,7676.83,99584.68,99584.68,44,31-60,Overdue,2/10 Net 30
281,2025-08,2025,8,Q3,AR,River Trade,Retail,Central,195847.56,6035.41,189812.15,189812.15,58,31-60,Overdue,Net 30
100,2026-02,2026,2,Q1,AR,Falcon Tech,SMB,South,243014.95,0.0,243014.95,0.0,0,Current,Current,2/10 Net 30
473,2025-06,2025,6,Q2,AP,General Utilities,Utilities,East,24587.2,24587.2,0.0,0.0,55,31-60,Paid,Net 45
426,2026-01,2026,1,Q1,AP,Master Builders,Manufacturing,South,155147.73,0.0,155147.73,0.0,0,Current,Current,2/10 Net 30
330,2025-02,2025,2,Q1,AR,Metro Bank,Government,Central,217389.03,9745.08,207643.95,207643.95,19,1-30,Overdue,Net 90
186,2025-10,2025,10,Q4,AR,Apex Corp,Enterprise,Central,196811.48,196811.48,0.0,0.0,19,1-30,Paid,2/10 Net 30
176,2025-05,2025,5,Q2,AR,Kite Ventures,Startup,East,243966.66,243966.66,0.0,0.0,42,31-60,Paid,Net 45
51,2026-03,2026,3,Q1,AR,National Agency,Government,North,226685.43,0.0,226685.43,0.0,0,Current,Current,2/10 Net 30
607,2026-06,2026,6,Q2,AP,FirmBase Infra,Technology,South,23543.52,1151.18,22392.34,22392.34,45,31-60,Overdue,Net 45
163,2025-03,2025,3,Q1,AR,Harbor Shops,Retail,East,12934.4,12934.4,0.0,0.0,22,1-30,Paid,Net 45
192,2025-09,2025,9,Q3,AR,Jupiter Startup,Startup,North,224461.31,9779.31,214682.0,214682.0,27,1-30,Overdue,Net 90
140,2026-01,2026,1,Q1,AR,Echo Solutions,SMB,Central,141935.91,87216.71,54719.2,54719.2,35,31-60,Partial,Net 60
506,2025-05,2025,5,Q2,AP,Acme Supplies,Office,West,10696.32,991.49,9704.83,9704.83,2,1-30,Overdue,Net 45
534,2026-02,2026,2,Q1,AP,Reliant Power,Utilities,North,125947.64,0.0,125947.64,0.0,0,Current,Current,Net 60
459,2025-10,2025,10,Q4,AP,InfoSys Partners,Consulting,Central,81747.01,33270.59,48476.42,48476.42,24,1-30,Partial,Net 60
529,2025-07,2025,7,Q3,AP,Acme Supplies,Office,Central,91080.09,58414.35,32665.74,32665.74,56,31-60,Partial,Net 90
157,2025-11,2025,11,Q4,AR,Jupiter Startup,Startup,Central,120982.94,120982.94,0.0,0.0,25,1-30,Paid,Net 30
353,2025-04,2025,4,Q2,AP,Prime Vendors,Consulting,North,170141.27,3057.85,167083.42,167083.42,67,61-90,Overdue,Net 30
72,2026-04,2026,4,Q2,AR,Cedar Group,Enterprise,Central,41553.41,19905.6,21647.81,21647.81,33,31-60,Partial,2/10 Net 30
190,2026-06,2026,6,Q2,AR,Kite Ventures,Startup,Central,181626.52,7601.24,174025.28,174025.28,20,1-30,Overdue,Net 60
420,2025-12,2025,12,Q4,AP,LightHouse Media,Marketing,West,4167.79,4167.79,0.0,0.0,36,31-60,Paid,Net 45
189,2025-02,2025,2,Q1,AR,Echo Solutions,SMB,Central,167245.57,0.0,167245.57,0.0,0,Current,Current,2/10 Net 30
594,2026-01,2026,1,Q1,AP,Crown Logistics,Logistics,Central,173796.83,8804.16,164992.67,164992.67,1,1-30,Overdue,Net 90
142,2025-05,2025,5,Q2,AR,Echo Solutions,SMB,North,129383.98,28318.76,101065.22,0.0,0,Current,Partial,2/10 Net 30
610,2025-09,2025,9,Q3,AP,General Utilities,Utilities,East,13558.35,5546.88,8011.47,0.0,0,Current,Partial,Net 45
204,2026-03,2026,3,Q1,AR,Lumen Digital,Startup,West,190550.88,190550.88,0.0,0.0,38,31-60,Paid,Net 45
387,2025-11,2025,11,Q4,AP,Dura Materials,Manufacturing,East,169853.24,7284.87,162568.37,162568.37,22,1-30,Overdue,Net 90
287,2025-03,2025,3,Q1,AR,Jupiter Startup,Startup,West,19186.96,19186.96,0.0,0.0,44,31-60,Paid,Net 30
322,2026-01,2026,1,Q1,AR,Delta Inc,SMB,West,190769.67,8438.94,182330.73,182330.73,63,61-90,Overdue,Net 45
211,2025-08,2025,8,Q3,AR,Apex Corp,Enterprise,North,181178.02,6726.56,174451.46,174451.46,120,90+,Overdue,Net 90
15,2025-03,2025,3,Q1,AR,Peak Analytics,Enterprise,North,35811.33,4686.45,31124.88,31124.88,158,90+,Overdue,Net 90
663,2026-04,2026,4,Q2,AP,HarbourFreight,Logistics,South,149965.31,75326.37,74638.94,0.0,0,Current,Partial,Net 90
328,2026-06,2026,6,Q2,AR,Metro Bank,Government,South,50712.82,15879.26,34833.56,34833.56,9,1-30,Partial,Net 30
165,2026-04,2026,4,Q2,AR,Quantum Ltd,SMB,West,194866.3,26788.63,168077.67,168077.67,179,90+,Overdue,Net 90
170,2025-11,2025,11,Q4,AR,Cedar Group,Enterprise,West,36441.98,2364.82,34077.16,34077.16,21,1-30,Overdue,2/10 Net 30
289,2025-09,2025,9,Q3,AR,Falcon Tech,SMB,East,70847.3,42760.17,28087.13,0.0,0,Current,Partial,Net 30
101,2025-09,2025,9,Q3,AR,Peak Analytics,Enterprise,East,33216.58,18671.32,14545.26,14545.26,55,31-60,Partial,Net 30
16,2026-02,2026,2,Q1,AR,Global Retail,Retail,Central,179672.5,24245.39,155427.11,155427.11,51,31-60,Overdue,Net 90
112,2025-12,2025,12,Q4,AR,Quantum Ltd,SMB,Central,236626.83,0.0,236626.83,0.0,0,Current,Current,Net 30
466,2025-01,2025,1,Q1,AP,Prime Vendors,Consulting,West,144239.77,55795.11,88444.66,0.0,0,Current,Partial,2/10 Net 30
373,2026-05,2026,5,Q2,AP,HarbourFreight,Logistics,East,112428.31,5830.8,106597.51,106597.51,22,1-30,Overdue,Net 90
299,2025-12,2025,12,Q4,AR,Oak Institute,Government,North,161117.84,10512.53,150605.31,150605.31,3,1-30,Overdue,Net 90
87,2026-04,2026,4,Q2,AR,Echo Solutions,SMB,West,140219.77,89011.63,51208.14,51208.14,13,1-30,Partial,2/10 Net 30
458,2025-05,2025,5,Q2,AP,FirmBase Infra,Technology,East,74644.77,3509.97,71134.8,71134.8,3,1-30,Overdue,Net 30
18,2025-02,2025,2,Q1,AR,Harbor Shops,Retail,North,22360.05,10500.66,11859.39,11859.39,118,90+,Partial,Net 45
559,2026-06,2026,6,Q2,AP,HarbourFreight,Logistics,South,167762.8,83552.21,84210.59,84210.59,27,1-30,Partial,2/10 Net 30
215,2025-11,2025,11,Q4,AR,Harbor Shops,Retail,East,132706.51,89478.71,43227.8,43227.8,62,61-90,Partial,Net 90
436,2025-09,2025,9,Q3,AP,HarbourFreight,Logistics,East,71025.7,0.0,71025.7,0.0,0,Current,Current,Net 90
38,2026-06,2026,6,Q2,AR,Kite Ventures,Startup,North,48749.11,18175.79,30573.32,0.0,0,Current,Partial,Net 60
399,2025-12,2025,12,Q4,AP,Quality Goods,Office,Central,161995.84,45957.8,116038.04,116038.04,11,1-30,Partial,Net 45
407,2026-05,2026,5,Q2,AP,Elite Services,Consulting,South,47735.29,0.0,47735.29,0.0,0,Current,Current,Net 30
491,2025-08,2025,8,Q3,AP,Reliant Power,Utilities,South,134790.37,0.0,134790.37,0.0,0,Current,Current,Net 60
272,2025-12,2025,12,Q4,AR,Cedar Group,Enterprise,Central,207087.67,207087.67,0.0,0.0,9,1-30,Paid,Net 90
273,2025-11,2025,11,Q4,AR,River Trade,Retail,Central,198134.4,41239.83,156894.57,0.0,0,Current,Partial,Net 30
118,2026-06,2026,6,Q2,AR,BlueSky Ltd,Enterprise,Central,169153.25,22026.09,147127.16,147127.16,145,90+,Overdue,Net 90
105,2026-06,2026,6,Q2,AR,Echo Solutions,SMB,West,187069.33,24845.06,162224.27,162224.27,14,1-30,Overdue,2/10 Net 30
106,2025-04,2025,4,Q2,AR,Peak Analytics,Enterprise,Central,13015.49,13015.49,0.0,0.0,7,1-30,Paid,Net 60
110,2025-05,2025,5,Q2,AR,Echo Solutions,SMB,Central,166959.12,0.0,166959.12,0.0,0,Current,Current,Net 30
509,2026-05,2026,5,Q2,AP,OmniSource,Office,Central,46788.41,5224.33,41564.08,41564.08,76,61-90,Overdue,2/10 Net 30
278,2025-12,2025,12,Q4,AR,Jupiter Startup,Startup,South,219251.84,219251.84,0.0,0.0,3,1-30,Paid,Net 45
468,2025-03,2025,3,Q1,AP,Network Pro,Technology,South,111539.27,13532.09,98007.18,98007.18,10,1-30,Overdue,Net 60
487,2025-02,2025,2,Q1,AP,Crown Logistics,Logistics,East,94948.89,0.0,94948.89,0.0,0,Current,Current,Net 30
