vendor_id,vendor_name,vendor_category,region,invoice_id,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,days_outstanding,days_overdue,payment_status,discount_rate,discount_captured
VND-002,TechSupplies Inc,IT,West,INV-0071,2025-03-30,2025-05-29,60,32238.99,32238.99,0.0,2025-04-19,63,3,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0072,2025-01-03,2025-02-17,45,40160.0,40160.0,0.0,2025-02-18,149,104,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0073,2025-05-18,2025-07-17,60,5910.12,0.0,5910.12,,14,0,Pending,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0074,2024-12-09,2025-01-23,45,15624.27,15624.27,0.0,2025-01-11,174,129,Paid,0.02,312.49
VND-002,TechSupplies Inc,IT,West,INV-0075,2025-03-13,2025-04-12,30,58329.6,58329.6,0.0,2025-03-25,80,50,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0076,2025-01-12,2025-02-26,45,16650.99,16650.99,0.0,2025-02-27,140,95,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0077,2025-02-26,2025-03-28,30,12149.77,12149.77,0.0,2025-04-10,95,65,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0078,2025-05-23,2025-07-07,45,75367.65,0.0,75367.65,,9,0,Pending,0.025,0.0
VND-003,LogiExpress,Logistics,East,INV-0079,2025-04-18,2025-05-03,15,2701.38,2701.38,0.0,2025-04-28,44,29,Paid,0.01,27.01
VND-003,LogiExpress,Logistics,East,INV-0080,2024-12-20,2025-02-03,45,61082.55,0.0,61082.55,,163,118,Overdue,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0081,2025-02-05,2025-02-20,15,52941.52,0.0,52941.52,,116,101,Overdue,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0082,2025-02-22,2025-04-23,60,34476.2,34476.2,0.0,2025-05-22,99,39,Paid,0.025,0.0
VND-003,LogiExpress,Logistics,East,INV-0083,2024-12-13,2025-01-27,45,26839.38,26839.38,0.0,2025-02-05,170,125,Paid,0.02,0.0
VND-003,LogiExpress,Logistics,East,INV-0084,2025-01-12,2025-02-11,30,6089.48,6089.48,0.0,2025-01-22,140,110,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0085,2024-12-20,2025-01-04,15,22407.51,0.0,22407.51,,163,148,Overdue,0.02,0.0
VND-003,LogiExpress,Logistics,East,INV-0086,2025-03-26,2025-04-25,30,35938.93,18736.63,17202.3,2025-04-29,67,37,Partial,0.025,0.0
VND-003,LogiExpress,Logistics,East,INV-0087,2025-05-08,2025-07-07,60,10634.03,0.0,10634.03,,24,0,Pending,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0088,2025-02-03,2025-04-04,60,63727.5,16864.0,46863.5,2025-05-03,118,58,Partial,0.02,0.0
VND-003,LogiExpress,Logistics,East,INV-0089,2025-01-11,2025-01-26,15,73374.74,73374.74,0.0,2025-01-29,141,126,Paid,0.025,0.0
VND-003,LogiExpress,Logistics,East,INV-0090,2024-12-27,2025-02-10,45,36847.9,36847.9,0.0,2025-02-03,156,111,Paid,0.025,921.2
VND-003,LogiExpress,Logistics,East,INV-0091,2025-05-06,2025-05-21,15,4756.79,0.0,4756.79,,26,11,Overdue,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0092,2025-02-12,2025-03-14,30,34445.95,34445.95,0.0,2025-03-09,109,79,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0093,2025-03-06,2025-04-05,30,17090.54,17090.54,0.0,2025-03-19,87,57,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0094,2025-03-15,2025-04-14,30,67194.54,67194.54,0.0,2025-05-07,78,48,Paid,0.02,0.0
VND-003,LogiExpress,Logistics,East,INV-0095,2025-02-10,2025-02-25,15,25471.36,25471.36,0.0,2025-03-10,111,96,Paid,0.01,0.0
VND-003,LogiExpress,Logistics,East,INV-0096,2024-12-17,2025-01-01,15,7137.34,7137.34,0.0,2024-12-22,166,151,Paid,0.02,142.75
VND-003,LogiExpress,Logistics,East,INV-0097,2025-03-18,2025-04-02,15,3774.98,3774.98,0.0,2025-03-30,75,60,Paid,0.0,0.0
VND-003,LogiExpress,Logistics,East,INV-0098,2025-04-25,2025-06-09,45,48220.98,0.0,48220.98,,37,0,Pending,0.01,0.0
VND-003,LogiExpress,Logistics,East,INV-0099,2025-01-19,2025-03-05,45,66448.49,36158.8,30289.69,2025-05-17,133,88,Partial,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0100,2025-04-09,2025-05-24,45,41321.13,0.0,41321.13,,53,8,Overdue,0.01,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0101,2024-12-24,2025-03-24,90,6575.19,6575.19,0.0,2025-04-12,159,69,Paid,0.025,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0102,2025-05-27,2025-07-11,45,58268.53,0.0,58268.53,,5,0,Pending,0.025,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0103,2025-05-06,2025-05-21,15,34345.27,5445.83,28899.44,2025-05-13,26,11,Partial,0.025,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0104,2025-05-05,2025-06-04,30,24598.79,0.0,24598.79,,27,0,Pending,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0105,2025-03-22,2025-05-06,45,14685.4,14685.4,0.0,2025-03-29,71,26,Paid,0.01,146.85
VND-004,Grupo Servicios Pro,Services,South,INV-0106,2025-03-06,2025-03-21,15,77291.17,77291.17,0.0,2025-03-16,87,72,Paid,0.01,772.91
VND-004,Grupo Servicios Pro,Services,South,INV-0107,2025-01-18,2025-02-02,15,35997.52,19135.6,16861.92,2025-03-15,134,119,Partial,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0108,2025-02-27,2025-03-29,30,4398.31,0.0,4398.31,,94,64,Overdue,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0109,2025-01-06,2025-02-05,30,68214.84,68214.84,0.0,2025-02-11,146,116,Paid,0.025,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0110,2024-12-24,2025-02-07,45,45033.26,45033.26,0.0,2025-01-31,159,114,Paid,0.02,900.67
VND-004,Grupo Servicios Pro,Services,South,INV-0111,2024-12-27,2025-02-10,45,13072.71,13072.71,0.0,2025-01-30,156,111,Paid,0.025,326.82
VND-004,Grupo Servicios Pro,Services,South,INV-0112,2025-03-07,2025-06-05,90,24138.52,0.0,24138.52,,86,0,Pending,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0113,2025-03-04,2025-03-19,15,58409.64,58409.64,0.0,2025-03-14,89,74,Paid,0.02,1168.19
VND-004,Grupo Servicios Pro,Services,South,INV-0114,2025-02-08,2025-03-10,30,51221.25,51221.25,0.0,2025-02-10,113,83,Paid,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0115,2025-01-26,2025-03-27,60,34870.03,34870.03,0.0,2025-03-08,126,66,Paid,0.025,871.75
VND-004,Grupo Servicios Pro,Services,South,INV-0116,2025-02-20,2025-04-06,45,9302.01,9302.01,0.0,2025-04-18,101,56,Paid,0.01,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0117,2025-04-23,2025-05-08,15,21676.95,21676.95,0.0,2025-05-20,39,24,Paid,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0118,2025-02-17,2025-04-03,45,47880.77,0.0,47880.77,,104,59,Overdue,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0119,2025-03-14,2025-04-28,45,33218.21,33218.21,0.0,2025-03-22,79,34,Paid,0.01,332.18
VND-004,Grupo Servicios Pro,Services,South,INV-0120,2025-03-15,2025-03-30,15,44300.83,44300.83,0.0,2025-03-28,78,63,Paid,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0121,2025-01-13,2025-04-13,90,11138.68,4107.14,7031.54,2025-04-12,139,49,Partial,0.02,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0122,2025-05-20,2025-07-19,60,19049.31,0.0,19049.31,,12,0,Pending,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0123,2025-03-11,2025-04-10,30,62579.96,62579.96,0.0,2025-04-05,82,52,Paid,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0124,2025-05-10,2025-06-24,45,45360.21,0.0,45360.21,,22,0,Pending,0.01,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0125,2025-02-26,2025-05-27,90,78195.5,78195.5,0.0,2025-03-25,95,5,Paid,0.0,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0126,2025-05-24,2025-07-23,60,17000.07,0.0,17000.07,,8,0,Pending,0.025,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0127,2025-05-27,2025-06-26,30,58527.94,0.0,58527.94,,5,0,Pending,0.01,0.0
VND-004,Grupo Servicios Pro,Services,South,INV-0128,2024-12-15,2025-02-13,60,15571.96,15571.96,0.0,2025-03-15,168,108,Paid,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0129,2025-01-30,2025-03-16,45,66911.91,66911.91,0.0,2025-04-09,122,77,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0130,2025-05-19,2025-07-03,45,5466.43,0.0,5466.43,,13,0,Pending,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0131,2025-01-02,2025-03-03,60,68028.15,68028.15,0.0,2025-03-13,150,90,Paid,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0132,2025-01-01,2025-02-15,45,56104.83,0.0,56104.83,,151,106,Overdue,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0133,2025-05-19,2025-07-03,45,46505.94,0.0,46505.94,,13,0,Pending,0.02,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0134,2025-04-06,2025-06-05,60,76533.93,0.0,76533.93,,56,0,Pending,0.02,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0135,2025-03-23,2025-05-22,60,67425.9,67425.9,0.0,2025-06-15,70,10,Paid,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0136,2025-03-22,2025-06-20,90,24962.4,0.0,24962.4,,71,0,Pending,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0137,2025-05-20,2025-07-04,45,19311.42,0.0,19311.42,,12,0,Pending,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0138,2025-04-01,2025-05-16,45,21208.68,21208.68,0.0,2025-04-11,61,16,Paid,0.025,530.22
VND-005,EnergyPlus Corp,Utilities,Central,INV-0139,2025-03-21,2025-05-05,45,62825.17,62825.17,0.0,2025-04-19,72,27,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0140,2025-01-29,2025-03-15,45,59131.61,0.0,59131.61,,123,78,Overdue,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0141,2024-12-17,2025-01-16,30,26891.15,0.0,26891.15,,166,136,Overdue,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0142,2025-05-15,2025-08-13,90,32516.4,0.0,32516.4,,17,0,Pending,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0143,2025-01-28,2025-02-27,30,40510.85,40510.85,0.0,2025-03-24,124,94,Paid,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0144,2025-02-08,2025-05-09,90,25981.8,25981.8,0.0,2025-05-12,113,23,Paid,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0145,2025-03-31,2025-04-30,30,63784.11,63784.11,0.0,2025-04-07,62,32,Paid,0.025,1594.6
VND-005,EnergyPlus Corp,Utilities,Central,INV-0146,2025-02-12,2025-03-14,30,27949.1,27949.1,0.0,2025-02-13,109,79,Paid,0.01,279.49
VND-005,EnergyPlus Corp,Utilities,Central,INV-0147,2025-05-05,2025-07-04,60,31000.82,0.0,31000.82,,27,0,Pending,0.02,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0148,2025-01-18,2025-02-02,15,76531.14,0.0,76531.14,,134,119,Overdue,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0149,2024-12-14,2025-02-12,60,26205.4,0.0,26205.4,,169,109,Overdue,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0150,2025-04-21,2025-06-20,60,45928.09,0.0,45928.09,,41,0,Pending,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0151,2025-02-03,2025-04-04,60,15479.78,0.0,15479.78,,118,58,Overdue,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0152,2025-03-12,2025-06-10,90,36288.28,0.0,36288.28,,81,0,Pending,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0153,2025-01-24,2025-02-08,15,77232.39,77232.39,0.0,2025-02-04,128,113,Paid,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0154,2025-01-22,2025-02-06,15,31098.72,31098.72,0.0,2025-03-02,130,115,Paid,0.02,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0155,2025-04-07,2025-05-07,30,70350.31,70350.31,0.0,2025-05-25,55,25,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0156,2025-02-07,2025-05-08,90,74493.82,74493.82,0.0,2025-04-23,114,24,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0157,2025-04-09,2025-05-09,30,76418.7,76418.7,0.0,2025-05-01,53,23,Paid,0.02,1528.37
VND-005,EnergyPlus Corp,Utilities,Central,INV-0158,2025-05-12,2025-05-27,15,61592.84,61592.84,0.0,2025-05-18,20,5,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0159,2025-04-03,2025-07-02,90,60514.93,0.0,60514.93,,59,0,Pending,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0160,2025-01-26,2025-03-12,45,66464.7,66464.7,0.0,2025-03-23,126,81,Paid,0.02,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0161,2025-03-26,2025-05-10,45,2373.9,2373.9,0.0,2025-05-02,67,22,Paid,0.025,59.35
VND-005,EnergyPlus Corp,Utilities,Central,INV-0162,2025-05-17,2025-06-16,30,64075.53,0.0,64075.53,,15,0,Pending,0.025,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0163,2025-03-16,2025-04-30,45,27871.59,27871.59,0.0,2025-04-04,77,32,Paid,0.025,696.79
VND-005,EnergyPlus Corp,Utilities,Central,INV-0164,2024-12-13,2025-02-11,60,52218.17,14542.39,37675.78,2025-05-17,170,110,Partial,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0165,2025-05-04,2025-06-18,45,9538.95,0.0,9538.95,,28,0,Pending,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0166,2025-02-21,2025-03-08,15,14818.2,14818.2,0.0,2025-03-03,100,85,Paid,0.02,296.36
VND-005,EnergyPlus Corp,Utilities,Central,INV-0167,2024-12-06,2025-01-20,45,76804.42,76804.42,0.0,2025-01-13,177,132,Paid,0.02,1536.09
VND-005,EnergyPlus Corp,Utilities,Central,INV-0168,2025-03-29,2025-05-13,45,66979.1,66979.1,0.0,2025-04-28,64,19,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0169,2025-05-09,2025-05-24,15,54787.38,54787.38,0.0,2025-05-19,23,8,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0170,2025-04-01,2025-05-01,30,5243.19,0.0,5243.19,,61,31,Overdue,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0171,2025-01-04,2025-03-05,60,14262.78,14262.78,0.0,2025-03-16,148,88,Paid,0.0,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0172,2025-04-09,2025-06-08,60,22217.08,0.0,22217.08,,53,0,Pending,0.01,0.0
VND-005,EnergyPlus Corp,Utilities,Central,INV-0173,2024-12-30,2025-01-14,15,52855.25,52855.25,0.0,2025-01-10,153,138,Paid,0.01,0.0
VND-006,MegaParts Ltd,Materials,South,INV-0174,2025-05-12,2025-06-11,30,23721.06,0.0,23721.06,,20,0,Pending,0.02,0.0
VND-006,MegaParts Ltd,Materials,South,INV-0175,2025-03-25,2025-05-09,45,74136.73,74136.73,0.0,2025-04-21,68,23,Paid,0.0,0.0
VND-006,MegaParts Ltd,Materials,South,INV-0176,2025-04-29,2025-07-28,90,7629.33,0.0,7629.33,,33,0,Pending,0.01,0.0
