record_id,customer_id,customer_name,segment,region,credit_limit,credit_used,credit_utilization,outstanding_balance,overdue_balance,days_overdue,risk_score,risk_category,payment_history,on_time_payments,late_payments,write_off_amount,period,year,month,quarter
CR-0047,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,493972,0.6977,163540,0,0,12.9,Low,Good,10,0,0.0,Feb 2025,2025,2,Q1
CR-0048,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,684362,0.5021,518590,46608,9,31.7,Medium,Good,6,0,0.0,Feb 2025,2025,2,Q1
CR-0065,C-GOV-01,Government Client 01,Government,North,883000,262604,0.2974,183906,0,0,6.1,Low,Good,4,0,0.0,Feb 2025,2025,2,Q1
CR-0066,C-GOV-02,Government Client 02,Government,South,1447000,909295,0.6284,460043,0,0,19.0,Low,Fair,7,4,0.0,Feb 2025,2025,2,Q1
CR-0067,C-GOV-03,Government Client 03,Government,North,435000,369446,0.8493,242516,0,0,28.9,Medium,Fair,6,3,0.0,Feb 2025,2025,2,Q1
CR-0068,C-GOV-04,Government Client 04,Government,Central,1121000,559827,0.4994,192212,0,0,16.1,Low,Fair,5,1,0.0,Feb 2025,2025,2,Q1
CR-0069,C-GOV-05,Government Client 05,Government,East,894000,351431,0.3931,294884,0,0,20.5,Low,Good,3,0,0.0,Feb 2025,2025,2,Q1
CR-0070,C-GOV-06,Government Client 06,Government,North,653000,417071,0.6387,288055,0,0,24.5,Low,Good,9,0,0.0,Feb 2025,2025,2,Q1
CR-0071,C-GOV-07,Government Client 07,Government,South,324000,259945,0.8023,106709,0,0,0,Low,Good,10,0,0.0,Feb 2025,2025,2,Q1
CR-0072,C-GOV-08,Government Client 08,Government,East,902000,433862,0.481,295016,0,0,1.4,Low,Fair,3,0,0.0,Feb 2025,2025,2,Q1
CR-0057,C-RET-01,Retail Client 01,Retail,Central,60000,45114,0.7519,30127,0,0,16.5,Low,Good,7,0,0.0,Feb 2025,2025,2,Q1
CR-0058,C-RET-02,Retail Client 02,Retail,North,118000,48286,0.4092,31444,6096,42,89.1,Critical,Poor,9,0,121.71,Feb 2025,2025,2,Q1
CR-0059,C-RET-03,Retail Client 03,Retail,Central,153000,40438,0.2643,16816,0,0,17.8,Low,Good,5,0,0.0,Feb 2025,2025,2,Q1
CR-0060,C-RET-04,Retail Client 04,Retail,Central,143000,123495,0.8636,61369,20532,20,64.5,High,Poor,2,3,0.0,Feb 2025,2025,2,Q1
CR-0061,C-RET-05,Retail Client 05,Retail,Central,72000,43258,0.6008,14384,0,0,12.6,Low,Good,10,0,0.0,Feb 2025,2025,2,Q1
CR-0062,C-RET-06,Retail Client 06,Retail,Central,103000,79485,0.7717,42286,0,0,21.5,Low,Fair,4,2,0.0,Feb 2025,2025,2,Q1
CR-0063,C-RET-07,Retail Client 07,Retail,West,147000,54758,0.3725,28737,1556,41,33.6,Medium,Fair,5,3,0.0,Feb 2025,2025,2,Q1
CR-0064,C-RET-08,Retail Client 08,Retail,North,106000,50859,0.4798,42625,0,0,26.4,Medium,Fair,7,0,0.0,Feb 2025,2025,2,Q1
CR-0049,C-SMB-01,SMB Client 01,SMB,North,274000,212569,0.7758,111216,0,0,13.0,Low,Good,4,0,0.0,Feb 2025,2025,2,Q1
CR-0050,C-SMB-02,SMB Client 02,SMB,South,128000,55590,0.4343,17959,1765,19,56.8,High,Fair,10,1,0.0,Feb 2025,2025,2,Q1
CR-0051,C-SMB-03,SMB Client 03,SMB,North,317000,316144,0.9973,255592,58494,129,81.7,Critical,Poor,3,3,290.11,Feb 2025,2025,2,Q1
CR-0052,C-SMB-04,SMB Client 04,SMB,South,101000,81042,0.8024,42860,15459,86,48.2,Medium,Good,10,0,0.0,Feb 2025,2025,2,Q1
CR-0053,C-SMB-05,SMB Client 05,SMB,North,203000,92223,0.4543,54063,0,0,1.3,Low,Good,5,0,0.0,Feb 2025,2025,2,Q1
CR-0054,C-SMB-06,SMB Client 06,SMB,West,108000,72738,0.6735,55816,0,0,17.9,Low,Fair,9,0,0.0,Feb 2025,2025,2,Q1
CR-0055,C-SMB-07,SMB Client 07,SMB,South,201000,148358,0.7381,97278,0,0,23.4,Low,Fair,8,2,0.0,Feb 2025,2025,2,Q1
CR-0056,C-SMB-08,SMB Client 08,SMB,South,147000,127376,0.8665,98509,11704,32,68.3,High,Poor,5,2,0.0,Feb 2025,2025,2,Q1
CR-0073,C-STA-01,Startup Client 01,Startup,North,91000,71535,0.7861,27126,9659,24,47.8,Medium,Fair,4,2,0.0,Feb 2025,2025,2,Q1
CR-0074,C-STA-02,Startup Client 02,Startup,West,67000,43852,0.6545,24605,11102,83,60.0,High,Poor,6,4,0.0,Feb 2025,2025,2,Q1
CR-0075,C-STA-03,Startup Client 03,Startup,West,120000,84492,0.7041,52782,20098,123,72.1,High,Fair,2,0,1229.05,Feb 2025,2025,2,Q1
CR-0076,C-STA-04,Startup Client 04,Startup,East,132000,114286,0.8658,38950,10725,76,57.6,High,Good,9,0,0.0,Feb 2025,2025,2,Q1
CR-0077,C-STA-05,Startup Client 05,Startup,North,142000,141830,0.9988,80674,19423,64,58.3,High,Fair,2,4,0.0,Feb 2025,2025,2,Q1
CR-0078,C-STA-06,Startup Client 06,Startup,North,65000,28112,0.4325,15205,3629,73,40.9,Medium,Fair,5,4,0.0,Feb 2025,2025,2,Q1
CR-0079,C-STA-07,Startup Client 07,Startup,South,131000,49924,0.3811,38950,11942,57,60.4,High,Good,9,0,0.0,Feb 2025,2025,2,Q1
CR-0080,C-STA-08,Startup Client 08,Startup,West,88000,42222,0.4798,20192,2129,82,64.7,High,Fair,6,2,0.0,Feb 2025,2025,2,Q1
CR-0081,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,696488,0.481,333672,0,0,24.7,Low,Fair,5,0,0.0,Mar 2025,2025,3,Q1
CR-0082,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1547396,0.8209,1140596,0,0,18.1,Low,Good,10,0,0.0,Mar 2025,2025,3,Q1
CR-0083,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,482657,0.7258,225913,0,0,21.1,Low,Good,4,0,0.0,Mar 2025,2025,3,Q1
CR-0084,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1872137,0.9403,1027112,0,0,16.3,Low,Fair,1,1,0.0,Mar 2025,2025,3,Q1
CR-0085,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,545727,0.3998,199395,0,0,3.3,Low,Good,2,0,0.0,Mar 2025,2025,3,Q1
CR-0086,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1280563,0.8337,994244,0,0,8.3,Low,Fair,5,0,0.0,Mar 2025,2025,3,Q1
CR-0087,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,507282,0.7165,167103,0,0,8.0,Low,Good,3,0,0.0,Mar 2025,2025,3,Q1
CR-0088,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,659556,0.4839,527751,0,0,27.5,Medium,Good,2,0,0.0,Mar 2025,2025,3,Q1
CR-0105,C-GOV-01,Government Client 01,Government,North,883000,317350,0.3594,186375,0,0,14.2,Low,Good,6,0,0.0,Mar 2025,2025,3,Q1
CR-0106,C-GOV-02,Government Client 02,Government,South,1447000,888892,0.6143,346896,0,0,24.3,Low,Fair,6,0,0.0,Mar 2025,2025,3,Q1
CR-0107,C-GOV-03,Government Client 03,Government,North,435000,415773,0.9558,168512,0,0,26.8,Medium,Fair,7,0,0.0,Mar 2025,2025,3,Q1
CR-0108,C-GOV-04,Government Client 04,Government,Central,1121000,508149,0.4533,392844,0,0,18.5,Low,Fair,1,1,0.0,Mar 2025,2025,3,Q1
CR-0109,C-GOV-05,Government Client 05,Government,East,894000,337217,0.3772,157511,0,0,13.8,Low,Good,2,0,0.0,Mar 2025,2025,3,Q1
CR-0110,C-GOV-06,Government Client 06,Government,North,653000,494256,0.7569,205353,0,0,22.8,Low,Good,9,0,0.0,Mar 2025,2025,3,Q1
CR-0111,C-GOV-07,Government Client 07,Government,South,324000,234900,0.725,98347,0,0,0,Low,Good,1,0,0.0,Mar 2025,2025,3,Q1
CR-0112,C-GOV-08,Government Client 08,Government,East,902000,456683,0.5063,317291,0,0,5.0,Low,Fair,5,4,0.0,Mar 2025,2025,3,Q1
CR-0097,C-RET-01,Retail Client 01,Retail,Central,60000,54000,0.9,34796,0,0,22.4,Low,Good,5,0,0.0,Mar 2025,2025,3,Q1
CR-0098,C-RET-02,Retail Client 02,Retail,North,118000,47719,0.4044,23977,4219,53,86.5,Critical,Poor,5,4,101.7,Mar 2025,2025,3,Q1
CR-0099,C-RET-03,Retail Client 03,Retail,Central,153000,41249,0.2696,17741,0,0,16.3,Low,Good,3,0,0.0,Mar 2025,2025,3,Q1
CR-0100,C-RET-04,Retail Client 04,Retail,Central,143000,107650,0.7528,73267,26788,104,64.2,High,Poor,3,3,0.0,Mar 2025,2025,3,Q1
CR-0101,C-RET-05,Retail Client 05,Retail,Central,72000,40349,0.5604,25157,0,0,12.6,Low,Good,8,0,0.0,Mar 2025,2025,3,Q1
CR-0102,C-RET-06,Retail Client 06,Retail,Central,103000,72491,0.7038,26035,0,0,20.6,Low,Fair,9,1,0.0,Mar 2025,2025,3,Q1
CR-0103,C-RET-07,Retail Client 07,Retail,West,147000,55110,0.3749,16759,0,0,27.8,Medium,Fair,2,4,0.0,Mar 2025,2025,3,Q1
CR-0104,C-RET-08,Retail Client 08,Retail,North,106000,48241,0.4551,17600,0,0,29.3,Medium,Fair,4,3,0.0,Mar 2025,2025,3,Q1
CR-0089,C-SMB-01,SMB Client 01,SMB,North,274000,248545,0.9071,96270,0,0,11.2,Low,Good,6,0,0.0,Mar 2025,2025,3,Q1
CR-0090,C-SMB-02,SMB Client 02,SMB,South,128000,39936,0.312,27251,10084,26,54.9,High,Fair,8,4,0.0,Mar 2025,2025,3,Q1
CR-0091,C-SMB-03,SMB Client 03,SMB,North,317000,296490,0.9353,205443,33205,63,80.7,Critical,Poor,7,0,1269.72,Mar 2025,2025,3,Q1
CR-0092,C-SMB-04,SMB Client 04,SMB,South,101000,90536,0.8964,36319,373,77,48.1,Medium,Good,7,0,0.0,Mar 2025,2025,3,Q1
CR-0093,C-SMB-05,SMB Client 05,SMB,North,203000,77140,0.38,48605,0,0,1.7,Low,Good,10,0,0.0,Mar 2025,2025,3,Q1
CR-0094,C-SMB-06,SMB Client 06,SMB,West,108000,68839,0.6374,51491,0,0,18.1,Low,Fair,3,1,0.0,Mar 2025,2025,3,Q1
CR-0095,C-SMB-07,SMB Client 07,SMB,South,201000,150629,0.7494,74856,0,0,16.8,Low,Fair,2,0,0.0,Mar 2025,2025,3,Q1
CR-0096,C-SMB-08,SMB Client 08,SMB,South,147000,133491,0.9081,74119,16293,29,59.8,High,Poor,8,4,0.0,Mar 2025,2025,3,Q1
CR-0113,C-STA-01,Startup Client 01,Startup,North,91000,73319,0.8057,44149,5437,33,46.1,Medium,Fair,3,0,0.0,Mar 2025,2025,3,Q1
CR-0114,C-STA-02,Startup Client 02,Startup,West,67000,44300,0.6612,34058,14516,90,55.7,High,Poor,1,2,0.0,Mar 2025,2025,3,Q1
CR-0115,C-STA-03,Startup Client 03,Startup,West,120000,86484,0.7207,34377,11948,110,73.7,High,Fair,1,2,1255.67,Mar 2025,2025,3,Q1
CR-0116,C-STA-04,Startup Client 04,Startup,East,132000,119988,0.909,79280,22877,59,51.1,High,Good,9,0,0.0,Mar 2025,2025,3,Q1
CR-0117,C-STA-05,Startup Client 05,Startup,North,142000,141872,0.9991,89323,29994,29,56.8,High,Fair,4,3,0.0,Mar 2025,2025,3,Q1
CR-0118,C-STA-06,Startup Client 06,Startup,North,65000,25402,0.3908,14204,1352,58,45.8,Medium,Fair,3,3,0.0,Mar 2025,2025,3,Q1
CR-0119,C-STA-07,Startup Client 07,Startup,South,131000,57614,0.4398,23210,6452,13,59.8,High,Good,1,0,0.0,Mar 2025,2025,3,Q1
CR-0120,C-STA-08,Startup Client 08,Startup,West,88000,39750,0.4517,13457,1962,107,56.6,High,Fair,5,0,0.0,Mar 2025,2025,3,Q1
CR-0121,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,594404,0.4105,247951,0,0,24.9,Low,Fair,7,1,0.0,Apr 2025,2025,4,Q2
CR-0122,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1589620,0.8433,1347546,0,0,11.4,Low,Good,6,0,0.0,Apr 2025,2025,4,Q2
CR-0123,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,453397,0.6818,354930,0,0,20.7,Low,Good,1,0,0.0,Apr 2025,2025,4,Q2
CR-0124,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1897025,0.9528,1533381,0,0,15.1,Low,Fair,8,3,0.0,Apr 2025,2025,4,Q2
CR-0125,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,551596,0.4041,348620,0,0,8.0,Low,Good,1,0,0.0,Apr 2025,2025,4,Q2
CR-0126,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1135411,0.7392,795662,0,0,15.0,Low,Fair,8,2,0.0,Apr 2025,2025,4,Q2
CR-0127,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,479812,0.6777,213700,0,0,3.8,Low,Good,4,0,0.0,Apr 2025,2025,4,Q2
CR-0128,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,855828,0.6279,695863,0,0,26.2,Medium,Good,1,0,0.0,Apr 2025,2025,4,Q2
CR-0145,C-GOV-01,Government Client 01,Government,North,883000,324856,0.3679,137883,0,0,14.0,Low,Good,6,0,0.0,Apr 2025,2025,4,Q2
CR-0146,C-GOV-02,Government Client 02,Government,South,1447000,999443,0.6907,325665,0,0,18.6,Low,Fair,6,2,0.0,Apr 2025,2025,4,Q2
CR-0147,C-GOV-03,Government Client 03,Government,North,435000,417208,0.9591,262951,0,0,20.2,Low,Fair,2,0,0.0,Apr 2025,2025,4,Q2
CR-0148,C-GOV-04,Government Client 04,Government,Central,1121000,543797,0.4851,316170,0,0,12.9,Low,Fair,1,3,0.0,Apr 2025,2025,4,Q2
CR-0149,C-GOV-05,Government Client 05,Government,East,894000,306374,0.3427,168806,0,0,18.2,Low,Good,2,0,0.0,Apr 2025,2025,4,Q2
CR-0150,C-GOV-06,Government Client 06,Government,North,653000,431829,0.6613,164793,0,0,26.9,Medium,Good,10,0,0.0,Apr 2025,2025,4,Q2
CR-0151,C-GOV-07,Government Client 07,Government,South,324000,230753,0.7122,78570,0,0,0,Low,Good,10,0,0.0,Apr 2025,2025,4,Q2
CR-0152,C-GOV-08,Government Client 08,Government,East,902000,437921,0.4855,251962,0,0,0.9,Low,Fair,10,0,0.0,Apr 2025,2025,4,Q2
CR-0137,C-RET-01,Retail Client 01,Retail,Central,60000,47964,0.7994,26619,0,0,17.7,Low,Good,4,0,0.0,Apr 2025,2025,4,Q2
CR-0138,C-RET-02,Retail Client 02,Retail,North,118000,50846,0.4309,24305,8586,140,83.6,Critical,Poor,6,1,993.28,Apr 2025,2025,4,Q2
CR-0139,C-RET-03,Retail Client 03,Retail,Central,153000,39673,0.2593,21644,0,0,8.9,Low,Good,4,0,0.0,Apr 2025,2025,4,Q2
CR-0140,C-RET-04,Retail Client 04,Retail,Central,143000,125182,0.8754,52788,4373,89,65.1,High,Poor,4,4,0.0,Apr 2025,2025,4,Q2
CR-0141,C-RET-05,Retail Client 05,Retail,Central,72000,42710,0.5932,20900,0,0,13.0,Low,Good,1,0,0.0,Apr 2025,2025,4,Q2
CR-0142,C-RET-06,Retail Client 06,Retail,Central,103000,72059,0.6996,26699,0,0,21.6,Low,Fair,1,0,0.0,Apr 2025,2025,4,Q2
CR-0143,C-RET-07,Retail Client 07,Retail,West,147000,65283,0.4441,37563,9966,51,34.9,Medium,Fair,4,0,0.0,Apr 2025,2025,4,Q2
CR-0144,C-RET-08,Retail Client 08,Retail,North,106000,45156,0.426,14859,0,0,26.6,Medium,Fair,5,1,0.0,Apr 2025,2025,4,Q2
CR-0129,C-SMB-01,SMB Client 01,SMB,North,274000,215583,0.7868,71287,0,0,12.1,Low,Good,7,0,0.0,Apr 2025,2025,4,Q2
CR-0130,C-SMB-02,SMB Client 02,SMB,South,128000,48205,0.3766,38940,6111,32,53.4,High,Fair,1,3,0.0,Apr 2025,2025,4,Q2
CR-0131,C-SMB-03,SMB Client 03,SMB,North,317000,296712,0.936,97083,21241,102,84.0,Critical,Poor,6,2,1767.06,Apr 2025,2025,4,Q2
CR-0132,C-SMB-04,SMB Client 04,SMB,South,101000,88910,0.8803,73101,23801,44,45.5,Medium,Good,8,0,0.0,Apr 2025,2025,4,Q2
CR-0133,C-SMB-05,SMB Client 05,SMB,North,203000,67010,0.3301,24586,0,0,0.6,Low,Good,7,0,0.0,Apr 2025,2025,4,Q2
CR-0134,C-SMB-06,SMB Client 06,SMB,West,108000,71809,0.6649,45063,0,0,24.2,Low,Fair,2,2,0.0,Apr 2025,2025,4,Q2
CR-0135,C-SMB-07,SMB Client 07,SMB,South,201000,145946,0.7261,121334,0,0,17.6,Low,Fair,4,2,0.0,Apr 2025,2025,4,Q2
CR-0136,C-SMB-08,SMB Client 08,SMB,South,147000,130712,0.8892,79918,17588,30,68.0,High,Poor,5,0,0.0,Apr 2025,2025,4,Q2
CR-0153,C-STA-01,Startup Client 01,Startup,North,91000,72181,0.7932,24895,506,7,43.6,Medium,Fair,3,4,0.0,Apr 2025,2025,4,Q2
CR-0154,C-STA-02,Startup Client 02,Startup,West,67000,43342,0.6469,18189,6092,95,55.9,High,Poor,9,0,0.0,Apr 2025,2025,4,Q2
CR-0155,C-STA-03,Startup Client 03,Startup,West,120000,78876,0.6573,31958,1649,7,66.8,High,Fair,4,4,0.0,Apr 2025,2025,4,Q2
CR-0156,C-STA-04,Startup Client 04,Startup,East,132000,108214,0.8198,33906,1698,2,54.8,High,Good,2,0,0.0,Apr 2025,2025,4,Q2
CR-0157,C-STA-05,Startup Client 05,Startup,North,142000,126451,0.8905,87720,12949,95,60.6,High,Fair,2,0,0.0,Apr 2025,2025,4,Q2
CR-0158,C-STA-06,Startup Client 06,Startup,North,65000,22022,0.3388,11166,747,13,42.0,Medium,Fair,10,1,0.0,Apr 2025,2025,4,Q2
CR-0159,C-STA-07,Startup Client 07,Startup,South,131000,54889,0.419,40825,23695,7,59.4,High,Good,6,0,0.0,Apr 2025,2025,4,Q2
CR-0160,C-STA-08,Startup Client 08,Startup,West,88000,34804,0.3955,21705,98,67,55.9,High,Fair,6,2,0.0,Apr 2025,2025,4,Q2
CR-0161,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,607002,0.4192,495051,0,0,23.2,Low,Fair,6,0,0.0,May 2025,2025,5,Q2
CR-0162,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1502345,0.797,1016486,0,0,12.0,Low,Good,3,0,0.0,May 2025,2025,5,Q2
CR-0163,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,504868,0.7592,187719,0,0,20.2,Low,Good,3,0,0.0,May 2025,2025,5,Q2
CR-0164,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1776171,0.8921,1102021,0,0,16.8,Low,Fair,3,0,0.0,May 2025,2025,5,Q2
CR-0165,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,400354,0.2933,330929,0,0,4.3,Low,Good,2,0,0.0,May 2025,2025,5,Q2
CR-0166,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1182874,0.7701,374347,0,0,15.9,Low,Fair,2,4,0.0,May 2025,2025,5,Q2
CR-0167,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,567108,0.801,330754,0,0,10.7,Low,Good,2,0,0.0,May 2025,2025,5,Q2
CR-0168,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,808123,0.5929,445985,5234,38,33.4,Medium,Good,6,0,0.0,May 2025,2025,5,Q2
CR-0185,C-GOV-01,Government Client 01,Government,North,883000,322825,0.3656,229753,0,0,14.1,Low,Good,3,0,0.0,May 2025,2025,5,Q2
