invoice_id,customer_id,customer_name,customer_segment,region,sales_rep,collector,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,days_outstanding,days_overdue,payment_status,collection_status,payment_method,promise_to_pay_date,last_contact_date
RCV-0034,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-07,2024-12-22,15,10226.17,1498.18,8727.99,2025-04-10,176,161,Partial,90+ DPD,Credit Card,2025-06-22,2025-05-20
RCV-0035,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-06,2025-04-20,45,57314.66,21980.86,35333.8,2025-05-18,87,42,Partial,31-60 DPD,Wire,2025-06-25,2025-05-19
RCV-0036,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-01-05,2025-02-04,30,49425.6,49425.6,0.0,2025-03-24,147,117,Paid,90+ DPD,ACH,,
RCV-0037,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-14,2025-01-28,45,42070.13,42070.13,0.0,2025-04-21,169,124,Paid,90+ DPD,Credit Card,,
RCV-0038,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-02-26,2025-03-28,30,31997.53,31997.53,0.0,2025-04-20,95,65,Paid,61-90 DPD,Wire,,
RCV-0039,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-07,2025-01-06,30,100093.84,100093.84,0.0,2025-04-12,176,146,Paid,90+ DPD,Credit Card,,
RCV-0040,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-27,2025-04-11,15,58622.49,58622.49,0.0,2025-04-18,66,51,Paid,31-60 DPD,ACH,,
RCV-0041,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-05-25,2025-07-09,45,70708.4,0.0,70708.4,,7,0,Current,Current,Credit Card,,
RCV-0042,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-21,2025-02-19,60,83568.21,0.0,83568.21,,162,102,Overdue,90+ DPD,ACH,,2025-05-24
RCV-0043,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-02-25,2025-04-26,60,59836.77,59836.77,0.0,2025-05-21,96,36,Paid,31-60 DPD,Credit Card,,
RCV-0044,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-02-17,2025-05-18,90,52692.07,52692.07,0.0,2025-05-04,104,14,Paid,1-30 DPD,Check,,
RCV-0045,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-10,2025-04-24,45,53760.98,0.0,53760.98,,83,38,Overdue,31-60 DPD,Credit Card,2025-06-06,2025-05-26
RCV-0046,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-04,2025-04-18,45,79524.5,79524.5,0.0,2025-03-22,89,44,Paid,31-60 DPD,ACH,,
RCV-0047,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-04-26,2025-06-25,60,84443.15,84443.15,0.0,2025-05-28,36,0,Paid,Current,Wire,,
RCV-0048,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-31,2025-02-14,45,42532.61,42532.61,0.0,2025-03-29,152,107,Paid,90+ DPD,ACH,,
RCV-0049,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-23,2025-04-22,30,22412.75,0.0,22412.75,,70,40,Overdue,31-60 DPD,Credit Card,2025-06-07,2025-05-24
RCV-0050,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-16,2025-02-14,60,29334.89,29334.89,0.0,2025-03-17,167,107,Paid,90+ DPD,ACH,,
RCV-0051,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-04-30,2025-07-29,90,119702.69,119702.69,0.0,2025-05-08,32,0,Paid,Current,ACH,,
RCV-0052,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-02-25,2025-04-26,60,57189.63,38099.43,19090.2,2025-05-02,96,36,Partial,31-60 DPD,Credit Card,2025-06-11,2025-05-23
RCV-0053,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-05-19,2025-08-17,90,114380.93,114380.93,0.0,2025-07-30,13,0,Paid,Current,Wire,,
RCV-0054,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-04-03,2025-05-18,45,43380.84,43380.84,0.0,2025-05-07,59,14,Paid,1-30 DPD,Check,,
RCV-0055,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-01-10,2025-01-25,15,63591.08,0.0,63591.08,,142,127,Overdue,90+ DPD,Check,,2025-05-25
RCV-0056,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-03-26,2025-04-10,15,66311.12,0.0,66311.12,,67,52,Overdue,31-60 DPD,Credit Card,,2025-05-23
RCV-0057,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-01-29,2025-02-13,15,45631.34,0.0,45631.34,,123,108,Overdue,90+ DPD,ACH,2025-06-29,2025-05-20
RCV-0058,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2025-01-18,2025-03-04,45,89949.84,89949.84,0.0,2025-03-28,134,89,Paid,61-90 DPD,Check,,
RCV-0059,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-21,2025-08-19,90,31482.03,0.0,31482.03,,11,0,Current,Current,ACH,,
RCV-0060,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-04,2025-06-03,30,88137.92,88137.92,0.0,2025-05-20,28,0,Paid,Current,Credit Card,,
RCV-0061,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-25,2025-05-09,45,41049.34,0.0,41049.34,,68,23,Overdue,1-30 DPD,ACH,2025-06-22,2025-05-25
RCV-0062,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-04-11,2025-06-10,60,59078.66,59078.66,0.0,2025-04-13,51,0,Paid,Current,Credit Card,,
RCV-0063,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-18,2025-06-02,15,22061.97,0.0,22061.97,,14,0,Current,Current,Check,,
RCV-0064,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-22,2025-03-08,45,68090.81,68090.81,0.0,2025-04-05,130,85,Paid,61-90 DPD,ACH,,
RCV-0065,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-08,2025-01-23,15,74026.64,74026.64,0.0,2025-04-12,144,129,Paid,90+ DPD,Credit Card,,
RCV-0066,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-29,2025-02-28,30,14382.21,14382.21,0.0,2025-03-18,123,93,Paid,90+ DPD,Wire,,
RCV-0067,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-13,2025-03-28,15,116381.07,116381.07,0.0,2025-05-01,80,65,Paid,61-90 DPD,Check,,
RCV-0068,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-23,2025-04-07,15,20699.33,20699.33,0.0,2025-05-14,70,55,Paid,31-60 DPD,Check,,
RCV-0069,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-24,2025-05-08,45,22505.91,15444.67,7061.24,2025-05-25,69,24,Partial,1-30 DPD,ACH,,2025-05-30
RCV-0070,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2024-12-07,2024-12-22,15,95717.47,95717.47,0.0,2025-01-19,176,161,Paid,90+ DPD,ACH,,
RCV-0071,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2024-12-14,2025-02-12,60,26927.9,26927.9,0.0,2025-03-03,169,109,Paid,90+ DPD,Credit Card,,
RCV-0072,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-04-30,2025-06-14,45,110456.05,0.0,110456.05,,32,0,Current,Current,Wire,,
RCV-0073,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-28,2025-02-27,30,66130.05,66130.05,0.0,2025-04-23,124,94,Paid,90+ DPD,Credit Card,,
RCV-0074,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-21,2025-06-05,15,62492.37,62492.37,0.0,2025-05-28,11,0,Paid,Current,ACH,,
RCV-0075,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-04-29,2025-06-28,60,34457.62,34457.62,0.0,2025-06-21,33,0,Paid,Current,Wire,,
RCV-0076,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-13,2025-02-12,30,93324.13,0.0,93324.13,,139,109,Overdue,90+ DPD,ACH,,2025-05-24
RCV-0077,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-31,2025-05-30,60,49051.8,49051.8,0.0,2025-06-01,62,2,Paid,1-30 DPD,Credit Card,,
RCV-0078,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-04-04,2025-04-19,15,75398.32,75398.32,0.0,2025-04-27,58,43,Paid,31-60 DPD,Credit Card,,
RCV-0079,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-03,2025-08-01,90,20109.29,0.0,20109.29,,29,0,Current,Current,Check,,
RCV-0080,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-18,2025-04-18,90,63159.02,63159.02,0.0,2025-04-05,134,44,Paid,31-60 DPD,Wire,,
RCV-0081,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-02-01,2025-03-03,30,107984.11,107984.11,0.0,2025-03-26,120,90,Paid,61-90 DPD,ACH,,
RCV-0082,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-03-20,2025-05-19,60,36812.93,0.0,36812.93,,73,13,Overdue,1-30 DPD,Wire,2025-06-04,2025-05-26
RCV-0083,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-01-31,2025-04-01,60,49690.28,49690.28,0.0,2025-05-15,121,61,Paid,61-90 DPD,Check,,
RCV-0084,CUST-003,TechVentures Ltd,SMB,East,Roberto Silva,Elena Ruiz,2025-05-17,2025-06-01,15,29256.25,0.0,29256.25,,15,0,Current,Current,ACH,,
RCV-0085,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-04,2025-04-05,60,27700.94,27700.94,0.0,2025-06-01,117,57,Paid,31-60 DPD,Credit Card,,
RCV-0086,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-05-20,2025-07-04,45,52617.43,52617.43,0.0,2025-06-09,12,0,Paid,Current,Check,,
RCV-0087,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2024-12-11,2025-01-25,45,44274.87,44274.87,0.0,2025-03-07,172,127,Paid,90+ DPD,Wire,,
RCV-0088,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-05-23,2025-07-22,60,61175.58,0.0,61175.58,,9,0,Current,Current,ACH,,
RCV-0089,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-03-01,2025-04-30,60,112312.58,112312.58,0.0,2025-06-01,92,32,Paid,31-60 DPD,ACH,,
RCV-0090,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-20,2025-04-06,45,29965.89,3251.78,26714.11,2025-04-24,101,56,Partial,31-60 DPD,Wire,2025-06-25,2025-05-26
RCV-0091,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-21,2025-05-22,90,91765.61,91765.61,0.0,2025-02-23,100,10,Paid,1-30 DPD,ACH,,
RCV-0092,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-11,2025-02-10,30,47143.98,47143.98,0.0,2025-02-26,141,111,Paid,90+ DPD,Check,,
RCV-0093,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-16,2025-04-02,45,56311.67,56311.67,0.0,2025-04-28,105,60,Paid,31-60 DPD,Check,,
RCV-0094,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-15,2025-04-15,90,4690.38,4690.38,0.0,2025-01-17,137,47,Paid,31-60 DPD,Credit Card,,
RCV-0095,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2024-12-25,2025-01-09,15,113510.43,113510.43,0.0,2025-01-28,158,143,Paid,90+ DPD,ACH,,
RCV-0096,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-04-06,2025-05-21,45,42308.07,25923.07,16385.0,2025-04-28,56,11,Partial,1-30 DPD,Wire,,2025-05-20
RCV-0097,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-06,2025-02-20,45,43682.9,43682.9,0.0,2025-02-09,146,101,Paid,90+ DPD,ACH,,
RCV-0098,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-08,2025-04-09,60,97491.49,97491.49,0.0,2025-04-23,113,53,Paid,31-60 DPD,Wire,,
RCV-0099,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-06,2025-01-21,15,99907.61,99907.61,0.0,2025-03-01,146,131,Paid,90+ DPD,Credit Card,,
RCV-0100,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2024-12-27,2025-03-27,90,102879.08,102879.08,0.0,2025-04-22,156,66,Paid,61-90 DPD,Wire,,
RCV-0101,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-04-26,2025-05-26,30,61886.92,61886.92,0.0,2025-05-11,36,6,Paid,1-30 DPD,Check,,
RCV-0102,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-17,2025-03-04,15,77748.16,77748.16,0.0,2025-04-07,104,89,Paid,61-90 DPD,Credit Card,,
RCV-0103,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-22,2025-03-23,60,15031.41,15031.41,0.0,2025-04-02,130,70,Paid,61-90 DPD,Check,,
RCV-0104,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-05-23,2025-06-07,15,13579.69,0.0,13579.69,,9,0,Current,Current,Wire,,
RCV-0105,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-04-27,2025-06-11,45,38164.28,0.0,38164.28,,35,0,Current,Current,ACH,,
RCV-0106,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-05-25,2025-08-23,90,74253.64,74253.64,0.0,2025-07-26,7,0,Paid,Current,Wire,,
RCV-0107,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-02-26,2025-05-27,90,15429.38,15429.38,0.0,2025-04-30,95,5,Paid,1-30 DPD,Check,,
RCV-0108,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-03-07,2025-04-21,45,84549.94,84549.94,0.0,2025-06-01,86,41,Paid,31-60 DPD,Credit Card,,
RCV-0109,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-04-28,2025-05-28,30,100857.11,100857.11,0.0,2025-04-29,34,4,Paid,1-30 DPD,Check,,
RCV-0110,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-03-07,2025-05-06,60,50459.11,50459.11,0.0,2025-04-06,86,26,Paid,1-30 DPD,Credit Card,,
RCV-0111,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-03-12,2025-05-11,60,62159.24,62159.24,0.0,2025-03-16,81,21,Paid,1-30 DPD,Check,,
RCV-0112,CUST-004,Ministerio de Obras,Government,North,Ana Fernandez,Isabela Costa,2025-01-07,2025-02-06,30,22251.18,9857.48,12393.7,2025-03-03,145,115,Partial,90+ DPD,Wire,,2025-05-30
RCV-0113,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-24,2025-02-07,45,8398.15,8398.15,0.0,2025-03-28,159,114,Paid,90+ DPD,ACH,,
RCV-0114,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-12,2025-04-27,15,82612.21,82612.21,0.0,2025-06-01,50,35,Paid,31-60 DPD,Wire,,
RCV-0115,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-19,2025-07-03,45,53511.93,0.0,53511.93,,13,0,Current,Current,Wire,,
RCV-0116,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-03-04,2025-03-19,15,45800.88,45800.88,0.0,2025-03-04,89,74,Paid,61-90 DPD,ACH,,
RCV-0117,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-16,2025-06-15,30,66701.76,66701.76,0.0,2025-06-13,16,0,Paid,Current,Check,,
RCV-0118,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-23,2025-02-22,30,117481.33,117481.33,0.0,2025-04-04,129,99,Paid,90+ DPD,Check,,
RCV-0119,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-14,2025-04-29,15,32889.89,32889.89,0.0,2025-04-30,48,33,Paid,31-60 DPD,Credit Card,,
RCV-0120,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-25,2025-04-25,90,97132.27,97132.27,0.0,2025-05-20,127,37,Paid,31-60 DPD,ACH,,
RCV-0121,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-16,2025-01-31,15,109518.88,109518.88,0.0,2025-05-14,136,121,Paid,90+ DPD,Credit Card,,
RCV-0122,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-13,2025-06-12,60,111060.12,0.0,111060.12,,49,0,Current,Current,Check,,
RCV-0123,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-26,2025-02-24,60,49086.95,0.0,49086.95,,157,97,Overdue,90+ DPD,Credit Card,,2025-05-24
RCV-0124,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-13,2025-04-13,90,108072.43,108072.43,0.0,2025-04-01,139,49,Paid,31-60 DPD,Credit Card,,
RCV-0125,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2024-12-13,2025-01-12,30,69836.25,69836.25,0.0,2025-04-07,170,140,Paid,90+ DPD,Check,,
RCV-0126,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-04-13,2025-06-12,60,69789.47,0.0,69789.47,,49,0,Current,Current,Check,,
RCV-0127,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-22,2025-06-06,15,93708.5,0.0,93708.5,,10,0,Current,Current,Check,,
RCV-0128,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-03-29,2025-06-27,90,31131.9,0.0,31131.9,,64,0,Current,Current,Credit Card,,
RCV-0129,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-01-13,2025-04-13,90,12340.17,12340.17,0.0,2025-02-14,139,49,Paid,31-60 DPD,Wire,,
RCV-0130,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-05-23,2025-07-07,45,29177.3,0.0,29177.3,,9,0,Current,Current,Credit Card,,
RCV-0131,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-02-08,2025-04-09,60,41046.24,41046.24,0.0,2025-04-19,113,53,Paid,31-60 DPD,Check,,
RCV-0132,CUST-005,Distribuidora Norte,Retail,East,Roberto Silva,Marco Torres,2025-02-01,2025-04-02,60,101087.26,0.0,101087.26,,120,60,Overdue,31-60 DPD,ACH,,2025-06-01
