dispute_id,invoice_id,vendor_id,vendor_name,vendor_category,region,dispute_date,dispute_type,invoice_amount,dispute_amount,priority,assigned_to,status,days_open,resolution_date,resolution_days,resolution_outcome,credit_amount
DIS-0011,INV-1011,VND-001,Acero Nacional SA,Materials,North,2024-10-24,Damaged Goods,90293.17,31562.01,Low,Juan Vargas,In Progress,220,,,Pending,0.0
DIS-0012,INV-1012,VND-001,Acero Nacional SA,Materials,North,2025-05-07,Contract Terms,86804.78,14290.76,Low,Valeria Moreno,In Progress,25,,,Pending,0.0
DIS-0013,INV-1013,VND-001,Acero Nacional SA,Materials,North,2024-11-15,Service Quality,41253.83,32883.06,Medium,Ana Torres,Escalated,198,2024-12-02,17,Payment Adjusted,10351.2
DIS-0014,INV-1014,VND-001,Acero Nacional SA,Materials,North,2025-01-15,Damaged Goods,78016.88,23805.42,Medium,Juan Vargas,Open,137,,,Pending,0.0
DIS-0015,INV-1015,VND-001,Acero Nacional SA,Materials,North,2025-01-17,Price Discrepancy,97329.37,60487.44,Medium,Marta Lopez,Closed,135,2025-03-25,67,Partial Credit,17644.4
DIS-0016,INV-1016,VND-001,Acero Nacional SA,Materials,North,2025-03-10,Price Discrepancy,56241.01,35655.11,Medium,Diego Castillo,Resolved,83,2025-03-27,17,Pending,0.0
DIS-0017,INV-1017,VND-001,Acero Nacional SA,Materials,North,2024-12-25,Price Discrepancy,27747.97,6400.17,Medium,Carlos Mendez,Escalated,158,2025-04-11,107,Full Credit,6400.17
DIS-0018,INV-1018,VND-001,Acero Nacional SA,Materials,North,2024-09-01,Service Quality,77754.27,11374.95,Medium,Sofia Ruiz,Resolved,273,2024-12-24,114,Partial Credit,8856.74
DIS-0019,INV-1019,VND-001,Acero Nacional SA,Materials,North,2024-08-28,Duplicate Invoice,76750.19,43548.11,High,Diego Castillo,Resolved,277,2024-11-05,69,Partial Credit,15187.11
DIS-0020,INV-1020,VND-001,Acero Nacional SA,Materials,North,2025-04-29,Damaged Goods,37118.13,18233.6,Low,Ana Torres,Open,33,,,Pending,0.0
DIS-0021,INV-1021,VND-002,TechSupplies Inc,IT,North,2025-04-27,Damaged Goods,91014.9,63230.47,Low,Marta Lopez,Resolved,35,2025-05-13,16,Partial Credit,40088.85
DIS-0022,INV-1022,VND-002,TechSupplies Inc,IT,North,2024-08-12,Duplicate Invoice,59740.11,13874.52,Medium,Luis Herrera,In Progress,293,,,Pending,0.0
DIS-0023,INV-1023,VND-002,TechSupplies Inc,IT,North,2024-06-28,Contract Terms,45949.86,16895.03,Medium,Ana Torres,Escalated,338,2024-09-21,85,Full Credit,16895.03
DIS-0024,INV-1024,VND-002,TechSupplies Inc,IT,North,2024-11-06,Damaged Goods,74180.29,48250.15,Low,Luis Herrera,Resolved,207,2024-11-26,20,Partial Credit,17713.94
DIS-0025,INV-1025,VND-002,TechSupplies Inc,IT,North,2025-01-24,Service Quality,88076.17,9383.52,High,Carlos Mendez,In Progress,128,,,Pending,0.0
DIS-0026,INV-1026,VND-002,TechSupplies Inc,IT,North,2024-08-28,Damaged Goods,84422.62,65575.03,Critical,Sofia Ruiz,Resolved,277,2024-10-31,64,Full Credit,65575.03
DIS-0027,INV-1027,VND-002,TechSupplies Inc,IT,North,2024-11-07,Duplicate Invoice,90732.07,15740.0,Low,Marta Lopez,Closed,206,2025-02-18,103,Partial Credit,7142.88
DIS-0028,INV-1028,VND-002,TechSupplies Inc,IT,North,2024-08-20,Damaged Goods,67877.77,28169.52,Low,Ana Torres,Resolved,285,2024-10-31,72,Full Credit,28169.52
DIS-0029,INV-1029,VND-002,TechSupplies Inc,IT,North,2024-12-22,Service Quality,10430.7,5091.57,Medium,Sofia Ruiz,In Progress,161,,,Pending,0.0
DIS-0030,INV-1030,VND-002,TechSupplies Inc,IT,North,2024-09-13,Contract Terms,12610.59,2388.05,Medium,Luis Herrera,Resolved,261,2025-01-07,116,Partial Credit,1307.1
DIS-0031,INV-1031,VND-002,TechSupplies Inc,IT,North,2025-05-11,Service Quality,63841.24,23264.94,Medium,Diego Castillo,Closed,21,2025-05-20,9,Payment Adjusted,5250.28
DIS-0032,INV-1032,VND-002,TechSupplies Inc,IT,North,2025-01-16,Missing Goods,42599.66,23590.31,Medium,Carlos Mendez,Open,136,,,Pending,0.0
DIS-0033,INV-1033,VND-002,TechSupplies Inc,IT,North,2024-07-17,Damaged Goods,99853.17,79590.2,Low,Marta Lopez,Resolved,319,2024-09-02,47,No Action,0.0
DIS-0034,INV-1034,VND-002,TechSupplies Inc,IT,North,2025-01-26,Contract Terms,40105.07,6750.09,High,Marta Lopez,Resolved,126,2025-05-12,106,Payment Adjusted,696.13
DIS-0035,INV-1035,VND-002,TechSupplies Inc,IT,North,2024-08-21,Damaged Goods,33440.98,18310.33,Critical,Marta Lopez,Resolved,284,2024-09-06,16,Payment Adjusted,2969.55
DIS-0036,INV-1036,VND-002,TechSupplies Inc,IT,North,2025-01-07,Contract Terms,62458.83,36738.85,Low,Marta Lopez,Resolved,145,2025-02-11,35,No Action,0.0
DIS-0037,INV-1037,VND-002,TechSupplies Inc,IT,North,2025-05-05,Price Discrepancy,13768.35,5062.37,Medium,Diego Castillo,Resolved,27,2025-05-28,23,Pending,0.0
DIS-0038,INV-1038,VND-002,TechSupplies Inc,IT,North,2025-03-10,Price Discrepancy,75416.94,34975.38,Medium,Carlos Mendez,Open,83,,,Pending,0.0
DIS-0039,INV-1039,VND-002,TechSupplies Inc,IT,North,2024-06-12,Service Quality,90873.21,41728.32,High,Sofia Ruiz,Resolved,354,2024-06-20,8,Full Credit,41728.32
DIS-0040,INV-1040,VND-002,TechSupplies Inc,IT,North,2025-05-11,Price Discrepancy,90397.84,18762.74,Low,Diego Castillo,Resolved,21,2025-05-27,16,Pending,0.0
DIS-0041,INV-1041,VND-002,TechSupplies Inc,IT,North,2025-03-13,Damaged Goods,92947.56,21150.5,Low,Valeria Moreno,Open,80,,,Pending,0.0
DIS-0042,INV-1042,VND-002,TechSupplies Inc,IT,North,2024-12-12,Contract Terms,79326.72,28461.23,High,Luis Herrera,Resolved,171,2025-03-25,103,Payment Adjusted,7201.17
DIS-0043,INV-1043,VND-002,TechSupplies Inc,IT,North,2025-05-12,Duplicate Invoice,86566.36,18769.78,High,Diego Castillo,Open,20,,,Pending,0.0
DIS-0044,INV-1044,VND-002,TechSupplies Inc,IT,North,2025-02-04,Missing Goods,26177.74,14267.52,Medium,Carlos Mendez,Closed,117,2025-03-14,38,Full Credit,14267.52
DIS-0045,INV-1045,VND-002,TechSupplies Inc,IT,North,2024-09-13,Price Discrepancy,42969.45,33768.07,Medium,Carlos Mendez,Closed,261,2024-10-19,36,Full Credit,33768.07
DIS-0046,INV-1046,VND-002,TechSupplies Inc,IT,North,2025-01-16,Missing Goods,8634.43,4295.01,Medium,Valeria Moreno,Resolved,136,2025-03-25,68,Full Credit,4295.01
DIS-0047,INV-1047,VND-002,TechSupplies Inc,IT,North,2024-08-09,Service Quality,23057.48,1920.46,Medium,Luis Herrera,Resolved,296,2024-08-20,11,Pending,0.0
DIS-0048,INV-1048,VND-003,LogiExpress,Logistics,East,2024-06-26,Missing Goods,85561.45,50465.49,Medium,Valeria Moreno,Resolved,340,2024-09-26,92,Full Credit,50465.49
DIS-0049,INV-1049,VND-003,LogiExpress,Logistics,East,2025-03-27,Contract Terms,23224.81,12743.39,Medium,Sofia Ruiz,Resolved,66,2025-05-07,41,Partial Credit,8923.37
DIS-0050,INV-1050,VND-003,LogiExpress,Logistics,East,2024-12-27,Contract Terms,32256.8,12012.95,Medium,Diego Castillo,Resolved,156,2025-02-24,59,Payment Adjusted,3657.58
DIS-0051,INV-1051,VND-003,LogiExpress,Logistics,East,2025-03-06,Service Quality,67590.82,17765.56,High,Diego Castillo,Open,87,,,Pending,0.0
DIS-0052,INV-1052,VND-003,LogiExpress,Logistics,East,2025-01-31,Price Discrepancy,68915.59,15056.71,Low,Ana Torres,Resolved,121,2025-04-04,63,Partial Credit,9953.89
DIS-0053,INV-1053,VND-003,LogiExpress,Logistics,East,2024-10-10,Contract Terms,44371.9,23176.51,Low,Valeria Moreno,Resolved,234,2024-11-13,34,Full Credit,23176.51
DIS-0054,INV-1054,VND-003,LogiExpress,Logistics,East,2024-06-13,Price Discrepancy,5526.76,3389.14,High,Valeria Moreno,Resolved,353,2024-09-26,105,Pending,0.0
DIS-0055,INV-1055,VND-003,LogiExpress,Logistics,East,2024-09-08,Price Discrepancy,49132.24,22996.56,Critical,Juan Vargas,Resolved,266,2024-11-09,62,Payment Adjusted,11386.91
DIS-0056,INV-1056,VND-003,LogiExpress,Logistics,East,2024-07-31,Contract Terms,35143.31,21663.65,Medium,Valeria Moreno,Closed,305,2024-10-12,73,Partial Credit,6401.49
DIS-0057,INV-1057,VND-003,LogiExpress,Logistics,East,2024-09-30,Missing Goods,47756.63,29314.58,High,Juan Vargas,Resolved,244,2024-11-07,38,Partial Credit,18413.28
DIS-0058,INV-1058,VND-003,LogiExpress,Logistics,East,2025-01-31,Damaged Goods,30812.94,8929.04,Medium,Sofia Ruiz,Resolved,121,2025-05-02,91,Full Credit,8929.04
DIS-0059,INV-1059,VND-003,LogiExpress,Logistics,East,2025-02-11,Duplicate Invoice,11101.74,3948.88,Medium,Ana Torres,Resolved,110,2025-04-08,56,Full Credit,3948.88
DIS-0060,INV-1060,VND-003,LogiExpress,Logistics,East,2024-08-05,Service Quality,94875.89,6133.63,High,Valeria Moreno,Resolved,300,2024-09-22,48,Full Credit,6133.63
DIS-0061,INV-1061,VND-003,LogiExpress,Logistics,East,2024-11-13,Contract Terms,86077.56,65855.6,Medium,Luis Herrera,Resolved,200,2024-12-20,37,Partial Credit,14317.99
DIS-0062,INV-1062,VND-003,LogiExpress,Logistics,East,2024-12-10,Duplicate Invoice,68542.99,44457.45,High,Sofia Ruiz,Closed,173,2025-02-19,71,Full Credit,44457.45
DIS-0063,INV-1063,VND-003,LogiExpress,Logistics,East,2024-11-11,Duplicate Invoice,61229.81,33508.0,Low,Sofia Ruiz,Closed,202,2024-12-07,26,Full Credit,33508.0
DIS-0064,INV-1064,VND-003,LogiExpress,Logistics,East,2024-11-18,Duplicate Invoice,36098.5,14115.4,Medium,Marta Lopez,Escalated,195,2025-03-07,109,Partial Credit,9894.14
DIS-0065,INV-1065,VND-003,LogiExpress,Logistics,East,2024-10-03,Missing Goods,6841.41,3109.86,Critical,Luis Herrera,Escalated,241,2025-01-13,102,Pending,0.0
DIS-0066,INV-1066,VND-003,LogiExpress,Logistics,East,2025-05-11,Price Discrepancy,76652.15,58424.94,Low,Sofia Ruiz,Open,21,,,Pending,0.0
DIS-0067,INV-1067,VND-003,LogiExpress,Logistics,East,2024-10-01,Contract Terms,68598.59,32445.57,Low,Marta Lopez,Escalated,243,2024-10-25,24,Partial Credit,25250.47
DIS-0068,INV-1068,VND-003,LogiExpress,Logistics,East,2025-04-03,Service Quality,78890.23,13634.15,Medium,Ana Torres,Closed,59,2025-05-12,39,Payment Adjusted,6588.96
DIS-0069,INV-1069,VND-003,LogiExpress,Logistics,East,2024-11-09,Contract Terms,94439.71,18769.64,Medium,Luis Herrera,Resolved,204,2025-02-18,101,Full Credit,18769.64
DIS-0070,INV-1070,VND-003,LogiExpress,Logistics,East,2024-06-15,Price Discrepancy,62039.1,8734.57,Critical,Diego Castillo,Resolved,351,2024-09-10,87,Full Credit,8734.57
DIS-0071,INV-1071,VND-003,LogiExpress,Logistics,East,2024-09-14,Duplicate Invoice,66516.61,3957.01,Medium,Carlos Mendez,Resolved,260,2024-11-02,49,Partial Credit,2758.92
DIS-0072,INV-1072,VND-003,LogiExpress,Logistics,East,2024-06-03,Contract Terms,19534.16,3557.22,Medium,Marta Lopez,Resolved,363,2024-10-01,120,Partial Credit,1743.39
DIS-0073,INV-1073,VND-003,LogiExpress,Logistics,East,2024-10-20,Damaged Goods,83444.79,41251.43,Medium,Carlos Mendez,Resolved,224,2024-12-19,60,Full Credit,41251.43
DIS-0074,INV-1074,VND-003,LogiExpress,Logistics,East,2024-10-06,Duplicate Invoice,59135.72,32592.14,Medium,Diego Castillo,Resolved,238,2024-11-05,30,Full Credit,32592.14
DIS-0075,INV-1075,VND-003,LogiExpress,Logistics,East,2025-01-19,Missing Goods,37332.19,26514.81,High,Ana Torres,Resolved,133,2025-02-15,27,Full Credit,26514.81
DIS-0076,INV-1076,VND-003,LogiExpress,Logistics,East,2024-11-04,Contract Terms,51414.9,31806.46,High,Juan Vargas,Resolved,209,2024-11-09,5,Full Credit,31806.46
DIS-0077,INV-1077,VND-003,LogiExpress,Logistics,East,2025-02-07,Missing Goods,43418.11,10093.79,High,Juan Vargas,Resolved,114,2025-03-26,47,Partial Credit,6536.35
DIS-0078,INV-1078,VND-004,Grupo Servicios Pro,Services,East,2024-06-06,Contract Terms,48105.8,13468.05,Low,Luis Herrera,Resolved,360,2024-09-12,98,Partial Credit,8852.73
DIS-0079,INV-1079,VND-004,Grupo Servicios Pro,Services,East,2025-02-26,Service Quality,23196.39,14009.54,Medium,Marta Lopez,Closed,95,2025-03-25,27,Full Credit,14009.54
DIS-0080,INV-1080,VND-004,Grupo Servicios Pro,Services,East,2024-11-28,Missing Goods,22046.95,1336.29,Medium,Ana Torres,Closed,185,2025-02-09,73,Full Credit,1336.29
DIS-0081,INV-1081,VND-004,Grupo Servicios Pro,Services,East,2025-03-28,Price Discrepancy,65597.62,40315.91,Low,Marta Lopez,Resolved,65,2025-04-28,31,Full Credit,40315.91
DIS-0082,INV-1082,VND-004,Grupo Servicios Pro,Services,East,2025-05-05,Price Discrepancy,28985.45,20182.34,Low,Valeria Moreno,In Progress,27,,,Pending,0.0
DIS-0083,INV-1083,VND-004,Grupo Servicios Pro,Services,East,2024-08-09,Service Quality,64797.34,5845.16,Low,Marta Lopez,In Progress,296,,,Pending,0.0
DIS-0084,INV-1084,VND-004,Grupo Servicios Pro,Services,East,2025-01-24,Service Quality,16252.9,10130.96,Medium,Luis Herrera,Escalated,128,2025-03-16,51,Partial Credit,4717.31
DIS-0085,INV-1085,VND-004,Grupo Servicios Pro,Services,East,2024-08-03,Service Quality,99052.97,27639.26,Medium,Carlos Mendez,Closed,302,2024-09-01,29,Partial Credit,9916.63
DIS-0086,INV-1086,VND-004,Grupo Servicios Pro,Services,East,2025-04-20,Price Discrepancy,19920.42,3592.85,Low,Valeria Moreno,Resolved,42,2025-05-31,41,Partial Credit,788.93
DIS-0087,INV-1087,VND-004,Grupo Servicios Pro,Services,East,2025-01-04,Contract Terms,72160.8,41654.15,Medium,Luis Herrera,Closed,148,2025-04-17,103,Payment Adjusted,13992.29
DIS-0088,INV-1088,VND-004,Grupo Servicios Pro,Services,East,2025-02-19,Missing Goods,45388.2,20806.94,Medium,Sofia Ruiz,In Progress,102,,,Pending,0.0
DIS-0089,INV-1089,VND-004,Grupo Servicios Pro,Services,East,2025-03-08,Missing Goods,80299.71,39851.38,High,Juan Vargas,Open,85,,,Pending,0.0
DIS-0090,INV-1090,VND-004,Grupo Servicios Pro,Services,East,2024-06-13,Service Quality,33888.66,11924.79,Medium,Juan Vargas,Resolved,353,2024-08-31,79,Full Credit,11924.79
DIS-0091,INV-1091,VND-004,Grupo Servicios Pro,Services,East,2024-10-22,Damaged Goods,74780.72,37598.64,Low,Ana Torres,Closed,222,2025-01-19,89,No Action,0.0
DIS-0092,INV-1092,VND-004,Grupo Servicios Pro,Services,East,2024-08-09,Contract Terms,8822.01,5444.96,Medium,Juan Vargas,Closed,296,2024-09-04,26,Pending,0.0
DIS-0093,INV-1093,VND-004,Grupo Servicios Pro,Services,East,2024-10-20,Missing Goods,65304.55,27349.18,Low,Valeria Moreno,Resolved,224,2025-01-16,88,Full Credit,27349.18
DIS-0094,INV-1094,VND-004,Grupo Servicios Pro,Services,East,2025-03-10,Duplicate Invoice,36331.35,20718.14,Medium,Ana Torres,Resolved,83,2025-04-22,43,Full Credit,20718.14
DIS-0095,INV-1095,VND-004,Grupo Servicios Pro,Services,East,2025-04-02,Price Discrepancy,97167.55,34312.9,Medium,Juan Vargas,Resolved,60,2025-04-17,15,Partial Credit,19681.2
DIS-0096,INV-1096,VND-004,Grupo Servicios Pro,Services,East,2024-09-18,Service Quality,64413.83,39936.12,Low,Sofia Ruiz,Closed,256,2024-11-16,59,No Action,0.0
DIS-0097,INV-1097,VND-004,Grupo Servicios Pro,Services,East,2024-09-25,Damaged Goods,16535.48,12895.36,Medium,Sofia Ruiz,Resolved,249,2024-09-29,4,Partial Credit,3300.25
DIS-0098,INV-1098,VND-004,Grupo Servicios Pro,Services,East,2025-04-03,Duplicate Invoice,48837.55,6744.45,High,Marta Lopez,Resolved,59,2025-04-23,20,Partial Credit,3301.41
DIS-0099,INV-1099,VND-004,Grupo Servicios Pro,Services,East,2024-10-02,Service Quality,28154.44,13048.14,Medium,Sofia Ruiz,Closed,242,2024-11-09,38,Payment Adjusted,5764.21
DIS-0100,INV-1100,VND-004,Grupo Servicios Pro,Services,East,2024-12-08,Missing Goods,93753.6,40389.36,High,Marta Lopez,Closed,175,2025-02-23,77,Pending,0.0
DIS-0101,INV-1101,VND-004,Grupo Servicios Pro,Services,East,2024-09-23,Missing Goods,87199.76,33564.11,Medium,Valeria Moreno,Resolved,251,2024-11-06,44,No Action,0.0
DIS-0102,INV-1102,VND-004,Grupo Servicios Pro,Services,East,2024-06-08,Duplicate Invoice,27686.53,9336.68,High,Ana Torres,Resolved,358,2024-08-10,63,Payment Adjusted,3964.01
DIS-0103,INV-1103,VND-004,Grupo Servicios Pro,Services,East,2024-11-15,Damaged Goods,98899.33,63720.37,High,Juan Vargas,Closed,198,2024-12-04,19,Partial Credit,35307.98
DIS-0104,INV-1104,VND-004,Grupo Servicios Pro,Services,East,2025-04-10,Duplicate Invoice,88048.09,33478.5,Medium,Ana Torres,Escalated,52,2025-05-09,29,No Action,0.0
DIS-0105,INV-1105,VND-004,Grupo Servicios Pro,Services,East,2025-03-13,Service Quality,12108.68,7702.86,Medium,Valeria Moreno,Resolved,80,2025-04-27,45,No Action,0.0
DIS-0106,INV-1106,VND-004,Grupo Servicios Pro,Services,East,2024-08-31,Duplicate Invoice,41100.89,11816.34,High,Ana Torres,Resolved,274,2024-10-03,33,Partial Credit,8892.47
DIS-0107,INV-1107,VND-004,Grupo Servicios Pro,Services,East,2025-02-04,Contract Terms,75942.8,28514.9,Low,Carlos Mendez,Resolved,117,2025-05-06,91,Full Credit,28514.9
DIS-0108,INV-1108,VND-004,Grupo Servicios Pro,Services,East,2025-05-17,Missing Goods,9369.14,6062.84,Medium,Valeria Moreno,Open,15,,,Pending,0.0
DIS-0109,INV-1109,VND-005,EnergyPlus Corp,Utilities,Central,2024-08-15,Service Quality,69771.04,12910.62,Low,Valeria Moreno,Resolved,290,2024-09-17,33,Partial Credit,7099.48
DIS-0110,INV-1110,VND-005,EnergyPlus Corp,Utilities,Central,2025-02-02,Price Discrepancy,48809.24,11737.79,Medium,Juan Vargas,Closed,119,2025-05-02,89,Partial Credit,2867.74
DIS-0111,INV-1111,VND-005,EnergyPlus Corp,Utilities,Central,2024-12-06,Contract Terms,98826.91,27114.71,Critical,Marta Lopez,Resolved,177,2025-01-16,41,Full Credit,27114.71
DIS-0112,INV-1112,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-16,Missing Goods,86066.87,11187.83,Medium,Marta Lopez,Closed,197,2024-12-26,40,Full Credit,11187.83
DIS-0113,INV-1113,VND-005,EnergyPlus Corp,Utilities,Central,2024-06-28,Contract Terms,42601.55,2388.82,High,Ana Torres,Closed,338,2024-10-04,98,Partial Credit,1773.68
DIS-0114,INV-1114,VND-005,EnergyPlus Corp,Utilities,Central,2025-01-05,Damaged Goods,78695.39,17516.71,High,Luis Herrera,Resolved,147,2025-04-04,89,Payment Adjusted,7129.1
DIS-0115,INV-1115,VND-005,EnergyPlus Corp,Utilities,Central,2024-06-17,Contract Terms,84642.03,44114.25,Critical,Ana Torres,Resolved,349,2024-08-15,59,Full Credit,44114.25
DIS-0116,INV-1116,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-26,Contract Terms,74574.18,8769.93,Medium,Valeria Moreno,Resolved,187,2024-12-15,19,Payment Adjusted,3951.59
DIS-0117,INV-1117,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-25,Missing Goods,55430.98,40748.16,High,Juan Vargas,Closed,188,2025-01-04,40,Payment Adjusted,9595.63
DIS-0118,INV-1118,VND-005,EnergyPlus Corp,Utilities,Central,2025-04-03,Damaged Goods,49491.48,5269.58,High,Valeria Moreno,Closed,59,2025-05-27,54,Partial Credit,1339.43
DIS-0119,INV-1119,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-10,Contract Terms,6322.27,2860.38,Medium,Marta Lopez,Resolved,203,2025-02-26,108,Partial Credit,1209.61
DIS-0120,INV-1120,VND-005,EnergyPlus Corp,Utilities,Central,2024-06-20,Service Quality,27213.08,1871.4,High,Diego Castillo,Closed,346,2024-07-21,31,Partial Credit,1087.74
DIS-0121,INV-1121,VND-005,EnergyPlus Corp,Utilities,Central,2024-10-06,Damaged Goods,91391.83,25282.88,Medium,Ana Torres,Closed,238,2024-11-16,41,Pending,0.0
DIS-0122,INV-1122,VND-005,EnergyPlus Corp,Utilities,Central,2025-04-02,Duplicate Invoice,14233.24,10183.09,Low,Diego Castillo,Resolved,60,2025-05-22,50,Payment Adjusted,3218.64
DIS-0123,INV-1123,VND-005,EnergyPlus Corp,Utilities,Central,2024-08-04,Price Discrepancy,75515.56,12527.44,Medium,Juan Vargas,Resolved,301,2024-09-11,38,Full Credit,12527.44
DIS-0124,INV-1124,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-23,Missing Goods,25640.62,9833.74,Low,Carlos Mendez,Closed,190,2025-01-12,50,Partial Credit,7736.26
DIS-0125,INV-1125,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-29,Duplicate Invoice,10752.26,2762.37,Critical,Carlos Mendez,Escalated,184,2025-02-22,85,Partial Credit,2161.99
DIS-0126,INV-1126,VND-005,EnergyPlus Corp,Utilities,Central,2025-05-06,Service Quality,79745.49,18554.92,Low,Luis Herrera,Open,26,,,Pending,0.0
DIS-0127,INV-1127,VND-005,EnergyPlus Corp,Utilities,Central,2024-08-21,Missing Goods,24679.95,5231.25,High,Sofia Ruiz,Escalated,284,2024-11-08,79,Full Credit,5231.25
DIS-0128,INV-1128,VND-005,EnergyPlus Corp,Utilities,Central,2025-03-18,Price Discrepancy,98815.09,44976.83,High,Ana Torres,Open,75,,,Pending,0.0
DIS-0129,INV-1129,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-29,Damaged Goods,80048.54,18286.99,Medium,Marta Lopez,In Progress,184,,,Pending,0.0
DIS-0130,INV-1130,VND-005,EnergyPlus Corp,Utilities,Central,2024-10-28,Missing Goods,54978.13,33495.37,Medium,Carlos Mendez,Resolved,216,2024-11-28,31,Pending,0.0
DIS-0131,INV-1131,VND-005,EnergyPlus Corp,Utilities,Central,2025-05-09,Missing Goods,74088.08,54200.15,High,Juan Vargas,In Progress,23,,,Pending,0.0
DIS-0132,INV-1132,VND-005,EnergyPlus Corp,Utilities,Central,2025-05-16,Contract Terms,10778.41,4410.92,Medium,Carlos Mendez,In Progress,16,,,Pending,0.0
DIS-0133,INV-1133,VND-005,EnergyPlus Corp,Utilities,Central,2024-10-16,Price Discrepancy,11981.62,1325.08,Medium,Sofia Ruiz,Resolved,228,2025-01-08,84,Partial Credit,831.21
DIS-0134,INV-1134,VND-005,EnergyPlus Corp,Utilities,Central,2024-11-17,Service Quality,99489.64,44563.16,Medium,Valeria Moreno,In Progress,196,,,Pending,0.0
DIS-0135,INV-1135,VND-005,EnergyPlus Corp,Utilities,Central,2024-06-06,Service Quality,15869.34,8585.86,High,Luis Herrera,Resolved,360,2024-09-30,116,Full Credit,8585.86
DIS-0136,INV-1136,VND-005,EnergyPlus Corp,Utilities,Central,2024-12-09,Missing Goods,83604.83,29182.07,High,Valeria Moreno,Resolved,174,2025-01-13,35,Full Credit,29182.07
DIS-0137,INV-1137,VND-005,EnergyPlus Corp,Utilities,Central,2025-03-14,Price Discrepancy,70248.0,28499.68,Low,Carlos Mendez,Resolved,79,2025-05-03,50,No Action,0.0
DIS-0138,INV-1138,VND-005,EnergyPlus Corp,Utilities,Central,2024-08-20,Contract Terms,10698.19,8210.52,Medium,Carlos Mendez,Resolved,285,2024-12-12,114,Payment Adjusted,3285.14
DIS-0139,INV-1139,VND-005,EnergyPlus Corp,Utilities,Central,2025-05-05,Service Quality,96997.87,48528.77,Medium,Luis Herrera,Open,27,,,Pending,0.0
DIS-0140,INV-1140,VND-005,EnergyPlus Corp,Utilities,Central,2024-09-27,Missing Goods,26303.26,3450.04,High,Carlos Mendez,Escalated,247,2024-12-12,76,Full Credit,3450.04
DIS-0141,INV-1141,VND-005,EnergyPlus Corp,Utilities,Central,2024-10-24,Service Quality,85289.74,66603.61,High,Ana Torres,Resolved,220,2025-01-19,87,No Action,0.0
DIS-0142,INV-1142,VND-006,MegaParts Ltd,Materials,East,2025-02-28,Missing Goods,30960.69,19251.58,Critical,Ana Torres,Resolved,93,2025-03-21,21,Partial Credit,8479.76
DIS-0143,INV-1143,VND-006,MegaParts Ltd,Materials,East,2025-03-20,Service Quality,75392.06,58719.69,Low,Luis Herrera,Resolved,73,2025-05-20,61,Full Credit,58719.69
DIS-0144,INV-1144,VND-006,MegaParts Ltd,Materials,East,2024-11-23,Service Quality,34605.55,10149.36,Critical,Carlos Mendez,Closed,190,2024-12-15,22,Full Credit,10149.36
