transaction_id,date,period,year,month,quarter,category,flow_type,department,region,counterparty,reference,budget_amount,actual_amount,forecast_amount,variance,variance_pct,data_type,is_favorable
CF-0069,2025-03-07,Mar 2025,2025,3,Q1,Payroll,Outflow,HR,North,Payroll Processing,PAY-202503-1,147279.57,135139.63,135139.63,-12139.94,-8.2,Actual,Yes
CF-0068,2025-03-10,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,South,OfficePro Services,PO-63506,29718.63,28608.26,28608.26,-1110.37,-3.7,Actual,Yes
CF-0050,2025-03-14,Mar 2025,2025,3,Q1,AR Collections,Inflow,Finance,South,Redwood Consulting,INV-11267,49445.78,50478.99,50478.99,1033.21,2.1,Actual,Yes
CF-0060,2025-03-14,Mar 2025,2025,3,Q1,Service Revenue,Inflow,Sales,Central,Summit Enterprises,SVC-3984,16661.31,17088.79,17088.79,427.48,2.6,Actual,Yes
CF-0077,2025-03-14,Mar 2025,2025,3,Q1,Tax Payments,Outflow,Finance,South,IRS / Tax Authority,TAX-2025-Q1,83530.09,78074.32,78074.32,-5455.77,-6.5,Actual,Yes
CF-0076,2025-03-17,Mar 2025,2025,3,Q1,CAPEX,Outflow,Operations,South,BuildRight Materials,CAP-2124,97049.74,100183.29,100183.29,3133.55,3.2,Actual,No
CF-0053,2025-03-18,Mar 2025,2025,3,Q1,AR Collections,Inflow,Finance,South,Pacific Distributors,INV-91351,38159.68,44157.52,44157.52,5997.84,15.7,Actual,Yes
CF-0073,2025-03-18,Mar 2025,2025,3,Q1,Operating Expenses,Outflow,Operations,Central,TechCore Solutions,EXP-6739,15684.65,14452.6,14452.6,-1232.05,-7.9,Actual,Yes
CF-0074,2025-03-20,Mar 2025,2025,3,Q1,Operating Expenses,Outflow,HR,West,MetalWorks Ltd.,EXP-8018,27721.53,32734.89,32734.89,5013.36,18.1,Actual,No
CF-0070,2025-03-21,Mar 2025,2025,3,Q1,Payroll,Outflow,HR,North,Payroll Processing,PAY-202503-2,84621.37,88563.05,88563.05,3941.68,4.7,Actual,No
CF-0071,2025-03-21,Mar 2025,2025,3,Q1,Operating Expenses,Outflow,IT,South,BuildRight Materials,EXP-8884,14532.14,15284.57,15284.57,752.43,5.2,Actual,No
CF-0067,2025-03-22,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,South,BuildRight Materials,PO-53500,21904.3,23569.41,23569.41,1665.11,7.6,Actual,No
CF-0064,2025-03-23,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,West,PowerGrid Utilities,PO-56333,17742.58,16299.51,16299.51,-1443.07,-8.1,Actual,Yes
CF-0072,2025-03-23,Mar 2025,2025,3,Q1,Operating Expenses,Outflow,Finance,Central,TechCore Solutions,EXP-9376,8394.14,7691.12,7691.12,-703.02,-8.4,Actual,Yes
CF-0054,2025-03-26,Mar 2025,2025,3,Q1,AR Collections,Inflow,Finance,East,Blue Sky Solutions,INV-64040,67282.52,64344.74,64344.74,-2937.78,-4.4,Actual,No
CF-0057,2025-03-26,Mar 2025,2025,3,Q1,Product Sales,Inflow,Sales,East,Harmon Industries,ORD-6826,50941.22,41794.74,41794.74,-9146.48,-18.0,Actual,No
CF-0051,2025-03-27,Mar 2025,2025,3,Q1,AR Collections,Inflow,Finance,North,Summit Enterprises,INV-86350,49098.65,48778.37,48778.37,-320.28,-0.7,Actual,No
CF-0062,2025-03-27,Mar 2025,2025,3,Q1,Interest Income,Inflow,Finance,East,Bank of Commerce,INT-202503,3339.64,2954.3,2954.3,-385.34,-11.5,Actual,No
CF-0055,2025-03-28,Mar 2025,2025,3,Q1,Product Sales,Inflow,Sales,West,Harmon Industries,ORD-7185,93189.99,89701.24,89701.24,-3488.75,-3.7,Actual,No
CF-0056,2025-03-28,Mar 2025,2025,3,Q1,Product Sales,Inflow,Sales,East,ClearPath LLC,ORD-6822,99134.18,101224.4,101224.4,2090.22,2.1,Actual,Yes
CF-0063,2025-03-28,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,West,TechCore Solutions,PO-67169,17300.96,17971.87,17971.87,670.91,3.9,Actual,No
CF-0052,2025-03-29,Mar 2025,2025,3,Q1,AR Collections,Inflow,Finance,North,Apex Retail Group,INV-56898,35570.73,31493.9,31493.9,-4076.83,-11.5,Actual,No
CF-0061,2025-03-29,Mar 2025,2025,3,Q1,Service Revenue,Inflow,Sales,North,Titan Manufacturing,SVC-1778,16972.77,16858.12,16858.12,-114.65,-0.7,Actual,No
CF-0065,2025-03-29,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,North,FastShip Logistics,PO-60338,30383.45,29519.87,29519.87,-863.58,-2.8,Actual,Yes
CF-0075,2025-03-29,Mar 2025,2025,3,Q1,CAPEX,Outflow,IT,East,MetalWorks Ltd.,CAP-2843,75691.45,65963.39,65963.39,-9728.06,-12.9,Actual,Yes
CF-0095,2025-04-01,Apr 2025,2025,4,Q2,Operating Expenses,Outflow,Sales,West,MetalWorks Ltd.,EXP-3864,19893.49,19146.56,19146.56,-746.93,-3.8,Actual,Yes
CF-0078,2025-04-05,Apr 2025,2025,4,Q2,AR Collections,Inflow,Finance,West,Harmon Industries,INV-18418,39833.01,37565.56,37565.56,-2267.45,-5.7,Actual,No
CF-0079,2025-04-07,Apr 2025,2025,4,Q2,AR Collections,Inflow,Finance,North,Pacific Distributors,INV-61049,41699.13,45984.99,45984.99,4285.86,10.3,Actual,Yes
CF-0088,2025-04-07,Apr 2025,2025,4,Q2,AP Payments,Outflow,Finance,North,Acme Supplies Co.,PO-60719,40186.02,34379.23,34379.23,-5806.79,-14.4,Actual,Yes
CF-0089,2025-04-07,Apr 2025,2025,4,Q2,AP Payments,Outflow,Finance,Central,MetalWorks Ltd.,PO-65840,26302.9,24285.88,24285.88,-2017.02,-7.7,Actual,Yes
CF-0092,2025-04-07,Apr 2025,2025,4,Q2,Payroll,Outflow,HR,South,Payroll Processing,PAY-202504-1,174147.06,175848.47,175848.47,1701.41,1.0,Actual,No
CF-0082,2025-04-09,Apr 2025,2025,4,Q2,Product Sales,Inflow,Sales,West,Pacific Distributors,ORD-8978,66499.51,56663.07,56663.07,-9836.44,-14.8,Actual,No
CF-0085,2025-04-13,Apr 2025,2025,4,Q2,Service Revenue,Inflow,Sales,West,Summit Enterprises,SVC-1866,14162.24,13362.84,13362.84,-799.4,-5.6,Actual,No
CF-0096,2025-04-14,Apr 2025,2025,4,Q2,Operating Expenses,Outflow,Operations,Central,OfficePro Services,EXP-8328,21268.1,21914.31,21914.31,646.21,3.0,Actual,No
CF-0098,2025-04-15,Apr 2025,2025,4,Q2,CAPEX,Outflow,Operations,West,ProStaff Services,CAP-1117,45898.62,43895.93,43895.93,-2002.69,-4.4,Actual,Yes
CF-0094,2025-04-19,Apr 2025,2025,4,Q2,Operating Expenses,Outflow,Finance,Central,ProStaff Services,EXP-7364,23313.23,22459.01,22459.01,-854.22,-3.7,Actual,Yes
CF-0093,2025-04-21,Apr 2025,2025,4,Q2,Payroll,Outflow,HR,Central,Payroll Processing,PAY-202504-2,90190.13,98838.09,98838.09,8647.96,9.6,Actual,No
CF-0084,2025-04-22,Apr 2025,2025,4,Q2,Product Sales,Inflow,Sales,West,Apex Retail Group,ORD-5687,75310.89,71080.85,71080.85,-4230.04,-5.6,Actual,No
CF-0090,2025-04-24,Apr 2025,2025,4,Q2,AP Payments,Outflow,Finance,North,TechCore Solutions,PO-70973,27860.91,31789.26,31789.26,3928.35,14.1,Actual,No
CF-0080,2025-04-25,Apr 2025,2025,4,Q2,AR Collections,Inflow,Finance,East,Titan Manufacturing,INV-59857,66833.73,73594.94,73594.94,6761.21,10.1,Actual,Yes
CF-0083,2025-04-27,Apr 2025,2025,4,Q2,Product Sales,Inflow,Sales,West,ClearPath LLC,ORD-6045,86555.42,97332.24,97332.24,10776.82,12.5,Actual,Yes
CF-0086,2025-04-27,Apr 2025,2025,4,Q2,Service Revenue,Inflow,Sales,Central,Pacific Distributors,SVC-2033,23965.03,24990.72,24990.72,1025.69,4.3,Actual,Yes
CF-0097,2025-04-27,Apr 2025,2025,4,Q2,CAPEX,Outflow,Operations,West,ProStaff Services,CAP-2005,67557.63,66893.93,66893.93,-663.7,-1.0,Actual,Yes
CF-0081,2025-04-28,Apr 2025,2025,4,Q2,AR Collections,Inflow,Finance,Central,Pacific Distributors,INV-80545,60948.08,64673.41,64673.41,3725.33,6.1,Actual,Yes
CF-0087,2025-04-28,Apr 2025,2025,4,Q2,Interest Income,Inflow,Finance,North,Bank of Commerce,INT-202504,1234.39,1076.07,1076.07,-158.32,-12.8,Actual,No
CF-0091,2025-04-30,Apr 2025,2025,4,Q2,AP Payments,Outflow,Finance,West,PowerGrid Utilities,PO-57735,26832.65,30023.12,30023.12,3190.47,11.9,Actual,No
CF-0122,2025-05-01,May 2025,2025,5,Q2,Operating Expenses,Outflow,HR,Central,SafetyFirst Supplies,EXP-3329,18503.83,18219.57,18219.57,-284.26,-1.5,Actual,Yes
CF-0110,2025-05-03,May 2025,2025,5,Q2,Service Revenue,Inflow,Sales,Central,Titan Manufacturing,SVC-3578,29230.42,27418.32,27418.32,-1812.1,-6.2,Actual,No
CF-0111,2025-05-03,May 2025,2025,5,Q2,Service Revenue,Inflow,Sales,Central,Harmon Industries,SVC-1485,52812.4,51773.36,51773.36,-1039.04,-2.0,Actual,No
CF-0104,2025-05-04,May 2025,2025,5,Q2,Product Sales,Inflow,Sales,South,Harmon Industries,ORD-7584,46369.31,42498.15,42498.15,-3871.16,-8.3,Actual,No
CF-0106,2025-05-04,May 2025,2025,5,Q2,Product Sales,Inflow,Sales,North,Harmon Industries,ORD-7426,75727.21,65329.39,65329.39,-10397.82,-13.7,Actual,No
CF-0107,2025-05-05,May 2025,2025,5,Q2,Product Sales,Inflow,Sales,South,Nova Technologies,ORD-5372,85181.57,96092.88,96092.88,10911.31,12.8,Actual,Yes
CF-0109,2025-05-06,May 2025,2025,5,Q2,Service Revenue,Inflow,Sales,North,Apex Retail Group,SVC-2034,30940.16,32910.29,32910.29,1970.13,6.4,Actual,Yes
CF-0115,2025-05-06,May 2025,2025,5,Q2,AP Payments,Outflow,Finance,East,Acme Supplies Co.,PO-46772,25871.72,25887.18,25887.18,15.46,0.1,Actual,No
CF-0114,2025-05-07,May 2025,2025,5,Q2,AP Payments,Outflow,Finance,South,BuildRight Materials,PO-37343,40113.25,37027.23,37027.23,-3086.02,-7.7,Actual,Yes
CF-0118,2025-05-07,May 2025,2025,5,Q2,Payroll,Outflow,HR,South,Payroll Processing,PAY-202505-1,134456.24,148507.31,148507.31,14051.07,10.5,Actual,No
CF-0102,2025-05-08,May 2025,2025,5,Q2,AR Collections,Inflow,Finance,West,Pacific Distributors,INV-41890,23304.04,22839.26,22839.26,-464.78,-2.0,Actual,No
CF-0099,2025-05-09,May 2025,2025,5,Q2,AR Collections,Inflow,Finance,East,Summit Enterprises,INV-46655,38225.02,43118.62,43118.62,4893.6,12.8,Actual,Yes
CF-0116,2025-05-10,May 2025,2025,5,Q2,AP Payments,Outflow,Finance,South,PowerGrid Utilities,PO-66070,7175.03,6640.96,6640.96,-534.07,-7.4,Actual,Yes
CF-0124,2025-05-11,May 2025,2025,5,Q2,CAPEX,Outflow,IT,West,FastShip Logistics,CAP-2350,62018.11,60308.58,60308.58,-1709.53,-2.8,Actual,Yes
CF-0103,2025-05-14,May 2025,2025,5,Q2,Product Sales,Inflow,Sales,East,Redwood Consulting,ORD-7709,70128.36,66883.4,66883.4,-3244.96,-4.6,Actual,No
CF-0113,2025-05-14,May 2025,2025,5,Q2,AP Payments,Outflow,Finance,North,PowerGrid Utilities,PO-57265,36966.0,37966.46,37966.46,1000.46,2.7,Actual,No
CF-0120,2025-05-15,May 2025,2025,5,Q2,Operating Expenses,Outflow,HR,North,CloudSys Inc.,EXP-5230,15100.53,15230.39,15230.39,129.86,0.9,Actual,No
CF-0108,2025-05-16,May 2025,2025,5,Q2,Service Revenue,Inflow,Sales,West,Meridian Corp,SVC-4574,49343.83,42214.18,42214.18,-7129.65,-14.4,Actual,No
CF-0100,2025-05-17,May 2025,2025,5,Q2,AR Collections,Inflow,Finance,Central,Harmon Industries,INV-21221,49680.09,46052.23,46052.23,-3627.86,-7.3,Actual,No
CF-0119,2025-05-21,May 2025,2025,5,Q2,Payroll,Outflow,HR,Central,Payroll Processing,PAY-202505-2,87140.98,82006.7,82006.7,-5134.28,-5.9,Actual,Yes
CF-0101,2025-05-23,May 2025,2025,5,Q2,AR Collections,Inflow,Finance,North,ClearPath LLC,INV-94659,61215.39,63015.33,63015.33,1799.94,2.9,Actual,Yes
CF-0105,2025-05-24,May 2025,2025,5,Q2,Product Sales,Inflow,Sales,Central,ClearPath LLC,ORD-7265,41280.98,48482.51,48482.51,7201.53,17.4,Actual,Yes
CF-0117,2025-05-26,May 2025,2025,5,Q2,AP Payments,Outflow,Finance,North,SafetyFirst Supplies,PO-63331,39260.8,37305.88,37305.88,-1954.92,-5.0,Actual,Yes
CF-0112,2025-05-27,May 2025,2025,5,Q2,Interest Income,Inflow,Finance,West,Bank of Commerce,INT-202505,4558.33,4549.53,4549.53,-8.8,-0.2,Actual,No
CF-0121,2025-05-29,May 2025,2025,5,Q2,Operating Expenses,Outflow,Sales,Central,ProStaff Services,EXP-7945,18754.84,16155.52,16155.52,-2599.32,-13.9,Actual,Yes
CF-0123,2025-05-30,May 2025,2025,5,Q2,Operating Expenses,Outflow,HR,North,FastShip Logistics,EXP-7795,19984.72,21403.71,21403.71,1418.99,7.1,Actual,No
CF-0125,2025-06-03,Jun 2025,2025,6,Q2,AR Collections,Inflow,Finance,West,Summit Enterprises,INV-43082,20091.74,21568.69,21568.69,1476.95,7.4,Actual,Yes
CF-0128,2025-06-05,Jun 2025,2025,6,Q2,AR Collections,Inflow,Finance,North,Nova Technologies,INV-67424,33222.21,35621.54,35621.54,2399.33,7.2,Actual,Yes
CF-0149,2025-06-06,Jun 2025,2025,6,Q2,CAPEX,Outflow,IT,West,MetalWorks Ltd.,CAP-2415,88405.87,96454.39,96454.39,8048.52,9.1,Actual,No
CF-0143,2025-06-07,Jun 2025,2025,6,Q2,Payroll,Outflow,HR,North,Payroll Processing,PAY-202506-1,143116.1,162898.96,162898.96,19782.86,13.8,Actual,No
CF-0146,2025-06-08,Jun 2025,2025,6,Q2,Operating Expenses,Outflow,IT,South,CloudSys Inc.,EXP-7636,14905.8,14449.24,14449.24,-456.56,-3.1,Actual,Yes
CF-0133,2025-06-09,Jun 2025,2025,6,Q2,Product Sales,Inflow,Sales,North,Pacific Distributors,ORD-7784,98442.29,108903.77,108903.77,10461.48,10.6,Actual,Yes
CF-0131,2025-06-10,Jun 2025,2025,6,Q2,Product Sales,Inflow,Sales,West,Redwood Consulting,ORD-7239,104275.51,101731.48,101731.48,-2544.03,-2.4,Actual,No
CF-0134,2025-06-10,Jun 2025,2025,6,Q2,Product Sales,Inflow,Sales,South,Titan Manufacturing,ORD-9750,49041.31,54776.82,54776.82,5735.51,11.7,Actual,Yes
CF-0145,2025-06-10,Jun 2025,2025,6,Q2,Operating Expenses,Outflow,Finance,East,Acme Supplies Co.,EXP-5657,8826.39,9019.1,9019.1,192.71,2.2,Actual,No
CF-0142,2025-06-11,Jun 2025,2025,6,Q2,AP Payments,Outflow,Finance,South,MetalWorks Ltd.,PO-77172,19680.34,20039.5,20039.5,359.16,1.8,Actual,No
CF-0127,2025-06-12,Jun 2025,2025,6,Q2,AR Collections,Inflow,Finance,South,Titan Manufacturing,INV-75338,28692.2,31247.09,31247.09,2554.89,8.9,Actual,Yes
CF-0135,2025-06-12,Jun 2025,2025,6,Q2,Service Revenue,Inflow,Sales,East,Summit Enterprises,SVC-3260,35158.96,35396.21,35396.21,237.25,0.7,Actual,Yes
CF-0141,2025-06-13,Jun 2025,2025,6,Q2,AP Payments,Outflow,Finance,Central,TechCore Solutions,PO-75821,28437.34,28522.62,28522.62,85.28,0.3,Actual,No
CF-0139,2025-06-15,Jun 2025,2025,6,Q2,AP Payments,Outflow,Finance,South,TechCore Solutions,PO-54468,37470.85,34382.48,34382.48,-3088.37,-8.2,Actual,Yes
CF-0150,2025-06-15,Jun 2025,2025,6,Q2,CAPEX,Outflow,Operations,West,BuildRight Materials,CAP-2575,89650.72,89793.32,89793.32,142.6,0.2,Actual,No
CF-0151,2025-06-16,Jun 2025,2025,6,Q2,Tax Payments,Outflow,Finance,North,IRS / Tax Authority,TAX-2025-Q2,115051.88,118093.62,118093.62,3041.74,2.6,Actual,No
CF-0132,2025-06-18,Jun 2025,2025,6,Q2,Product Sales,Inflow,Sales,South,Blue Sky Solutions,ORD-8142,45717.13,43331.89,43331.89,-2385.24,-5.2,Actual,No
CF-0129,2025-06-20,Jun 2025,2025,6,Q2,AR Collections,Inflow,Finance,West,Harmon Industries,INV-30758,73469.37,62437.92,62437.92,-11031.45,-15.0,Actual,No
CF-0140,2025-06-21,Jun 2025,2025,6,Q2,AP Payments,Outflow,Finance,East,FastShip Logistics,PO-24903,20759.23,22658.84,22658.84,1899.61,9.2,Actual,No
CF-0144,2025-06-21,Jun 2025,2025,6,Q2,Payroll,Outflow,HR,North,Payroll Processing,PAY-202506-2,123397.15,125312.47,125312.47,1915.32,1.6,Actual,No
CF-0148,2025-06-21,Jun 2025,2025,6,Q2,Operating Expenses,Outflow,HR,West,MetalWorks Ltd.,EXP-5091,10340.33,11859.48,11859.48,1519.15,14.7,Actual,No
CF-0136,2025-06-23,Jun 2025,2025,6,Q2,Service Revenue,Inflow,Sales,West,Harmon Industries,SVC-3342,49392.87,51947.65,51947.65,2554.78,5.2,Actual,Yes
CF-0137,2025-06-24,Jun 2025,2025,6,Q2,Service Revenue,Inflow,Sales,South,ClearPath LLC,SVC-3888,13876.83,14349.71,14349.71,472.88,3.4,Actual,Yes
